‘ Nothing was said behind your back!’	0 0 0 0 1 1 1	behind someone's back	figurative	combined-other	PUNCT NOUN VERB VERB ADP ADJ NOUN
and when the officers came to serve him with a subpoena he hid himself behind his back and wiled away the dragging hours of retirement and inaction by picking his own pockets.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	CCONJ ADV DET NOUN VERB PART VERB PRON ADP DET NOUN PRON VERB PRON ADP ADJ NOUN CCONJ VERB ADV DET VERB NOUN ADP NOUN CCONJ NOUN ADP VERB ADJ ADJ NOUN
On the count of ten, the chosen child opens his eyes and has three chances to guess who is holding the bell behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	ADP DET NOUN ADP NUM DET VERB NOUN VERB ADJ NOUN CCONJ VERB NUM NOUN PART VERB NOUN VERB VERB DET NOUN ADP ADJ NOUN
The Girls were so attractive that his relations were courting them and marrying the most beautiful ones behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	DET NOUN VERB ADV ADJ ADP ADJ NOUN VERB VERB PRON CCONJ VERB DET ADV ADJ NOUN ADP ADJ NOUN
behind your back.	1 1 1	behind someone's back	figurative	possessive	ADP ADJ NOUN
It had happened behind our backs.	0 0 0 1 1 1	behind someone's back	figurative	combined-inflection	PRON VERB VERB ADP ADJ NOUN
He has a way of standing with his hands by his side or behind his back, as if he doesn't know what on earth to do with them.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB DET NOUN ADP VERB ADP ADJ NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADP ADP PRON VERB VERB NOUN ADP NOUN PART VERB ADP PRON
Wordlessly, she drew the twenty - sixth - century weapon from behind her back, and handed it over.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	literal	possessive	ADV PRON VERB DET NUM PUNCT ADJ PUNCT NOUN NOUN ADP ADP ADJ ADV CCONJ VERB PRON PART
Two exquisite thoroughbreds, she supposed they had looked, chatting to one another in their high - pitched, well - bred " London " voices, filling each shop in turn with their faintly tittering laughter, making Frizingley aware — whatever it chose to whisper behind their backs — that the dynastic alliance of one trading " and therefore " common"fortune with another could mean nothing at all to them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	combined-inflection	NUM ADJ NOUN PRON VERB PRON VERB VERB VERB ADP NUM DET ADP ADJ ADJ PUNCT VERB ADV PUNCT VERB PUNCT PROPN PUNCT NOUN VERB DET NOUN ADP NOUN ADP ADJ ADJ VERB NOUN VERB PROPN ADJ PUNCT ADJ PRON VERB PART VERB ADP ADJ NOUN PUNCT ADP DET ADJ NOUN ADP NUM NOUN PUNCT CCONJ ADV PUNCT VERB ADP DET VERB VERB NOUN ADV ADV ADP PRON
Now, put your hands behind your back.	0 0 0 0 1 1 1	behind someone's back	literal	possessive	ADV VERB ADJ NOUN ADP ADJ NOUN
He will be laughing at the client behind his back.	0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PRON VERB VERB VERB ADP DET NOUN ADP ADJ NOUN
‘ Look, Michael, you had no right to borrow any money behind my back.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PUNCT VERB PROPN PRON VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN
Clasp fingers behind your back and lean forwards, pushing your arms up until they 're at right angles to your back.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	ADJ NOUN ADP ADJ NOUN CCONJ VERB NOUN VERB ADJ NOUN PART ADP PRON VERB ADP ADJ NOUN ADP ADJ NOUN
She most feared what people thought of her, and imagined that they talked constantly about her behind her back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PRON ADV VERB NOUN NOUN VERB ADP PRON CCONJ VERB ADP PRON VERB ADV ADP PRON ADP ADJ ADV
No one notices, or if they do, they notice behind my back.	0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	DET NOUN VERB CCONJ ADP PRON VERB PRON VERB ADP ADJ NOUN
The man standing behind her grasped her left wrist and tucked the arm up behind her back ; his other hand went into her hair, drawing her backwards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	DET NOUN VERB ADP PRON VERB ADJ ADJ NOUN CCONJ VERB DET NOUN PART ADP ADJ ADV PUNCT ADJ ADJ NOUN VERB ADP ADJ NOUN VERB PRON ADV
You then go through a number of activities, such as clapping your hands behind your back, squatting down, pretending to jump rope ( skip ), doing a monkey imitation, and so forth.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON ADV VERB ADP DET NOUN ADP NOUN ADJ ADP VERB ADJ NOUN ADP ADJ NOUN VERB PART VERB PART VERB NOUN PUNCT PROPN PUNCT VERB DET NOUN NOUN CCONJ ADV ADV
In one case it stretched to below a woman's knees and in another the pubic hair was gathered into a tasteful plait that reached behind her back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	ADP NUM NOUN PRON VERB ADP ADP DET NOUN NOUN CCONJ ADP DET DET ADJ NOUN VERB VERB ADP DET ADJ NOUN ADJ VERB ADP ADJ ADV
can you turn it round and get it behind your back?	0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	VERB PRON VERB PRON ADV CCONJ VERB PRON ADP ADJ NOUN
Don't you realise what he's doing behind your backs?’	0 0 0 0 0 0 1 1 1	behind someone's back	figurative	combined-inflection	VERB PRON VERB NOUN PRON VERB ADP ADJ NOUN
Withdrawing one hand from behind her back, she held it up for inspection.	0 0 0 0 1 1 1 0 0 0 0 0 0	behind someone's back	literal	possessive	VERB NUM NOUN ADP ADP PRON ADV PRON VERB PRON PART ADP NOUN
If you say I won't hit you and put your hands behind your back what do you reckon I 'm gon na do?	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	ADP PRON VERB PRON VERB VERB PRON CCONJ VERB ADJ NOUN ADP ADJ NOUN NOUN VERB PRON VERB PRON VERB VERB PART VERB
Dexter wondered what Terry would say about Simon Franks behind his back.	0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PROPN VERB NOUN PROPN VERB VERB ADP PROPN PROPN ADP ADJ NOUN
We had to quickly change it back, but I only got one hook done up and she had to go holding one hand behind her back for the whole scene.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	literal	possessive	PRON VERB PART ADV VERB PRON PART CCONJ PRON ADV VERB NUM NOUN VERB ADV CCONJ PRON VERB PART VERB VERB NUM NOUN ADP PRON ADV ADP DET ADJ NOUN
How would you feel if someone said that about you behind your back?	0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	ADV VERB PRON VERB ADP NOUN VERB ADP ADP PRON ADP ADJ NOUN
So if you practise a uni trick without juggling to start with, you should practise it until you 're so steady that you can rock with your arms folded either in front of you or behind your back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	CCONJ ADP PRON VERB DET ADJ NOUN ADP VERB PART VERB ADP PRON VERB VERB PRON ADP PRON VERB ADV ADJ ADP PRON VERB VERB ADP ADJ NOUN VERB CCONJ ADP NOUN ADP PRON CCONJ ADP ADJ NOUN
The other children all try to catch it and, when one of them does, they hide it behind their back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	DET ADJ NOUN DET VERB PART VERB PRON CCONJ ADV NUM ADP PRON VERB PRON VERB PRON ADP ADJ NOUN
They call us " licensed pirates " behind our backs! "	0 0 0 0 0 0 0 1 1 1 0	behind someone's back	figurative	combined-inflection	PRON VERB PRON PUNCT ADJ NOUN PUNCT ADP ADJ NOUN PUNCT
There was a big rear - view mirror over the bar so he could see the glances being exchanged behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	ADV VERB DET ADJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP PRON VERB VERB DET NOUN VERB VERB ADP ADJ NOUN
But because they don't say it to my face, it doesn't mean to say I don't still get them : now they say things behind my back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	CCONJ ADP PRON VERB VERB PRON ADP ADJ NOUN PRON VERB VERB PART VERB PRON VERB ADV VERB PRON PUNCT ADV PRON VERB NOUN ADP ADJ NOUN
For the first time she saw the red tin container he had been hiding behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	ADP DET ADJ NOUN PRON VERB DET ADJ NOUN NOUN PRON VERB VERB VERB ADP ADJ NOUN
So any rate me and Ann were looking and Spark's fiddling about and he's making faces at Dave see behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	ADV DET NOUN PRON CCONJ PROPN VERB VERB CCONJ PROPN VERB ADP CCONJ PRON VERB NOUN ADP PROPN VERB ADP ADJ NOUN
behind your back.	1 1 1	behind someone's back	figurative	possessive	ADP ADJ NOUN
They had people to do that for them half the time, there was no need for it, but it was as if I had to earn my keep, I had to repay what they 'd done for me, with the people that worked there laughing at me behind my back, wondering where I 'd come from, thinking maybe I was no better than them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PRON VERB NOUN PART VERB DET ADP PRON ADJ DET NOUN ADV VERB DET NOUN ADP PRON CCONJ PRON VERB ADP ADP PRON VERB PART VERB ADJ NOUN PRON VERB PART VERB NOUN PRON VERB VERB ADP PRON ADP DET NOUN ADJ VERB ADV VERB ADP PRON ADP ADJ NOUN VERB ADV PRON VERB VERB ADP VERB ADV PRON VERB ADV ADJ ADP PRON
He was tall and gangling with a slack mouth and appeared to be holding something behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PRON VERB ADJ CCONJ VERB ADP DET ADJ NOUN CCONJ VERB PART VERB VERB NOUN ADP ADJ NOUN
People were whispering about me behind my back — smiling to my face of course— but whispering behind my back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	NOUN VERB VERB ADP PRON ADP ADJ NOUN PUNCT VERB ADP ADJ NOUN ADP NOUN CCONJ VERB ADP ADJ NOUN
Went up and saw him where he lay, propped up with a mound of pillows behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	VERB PART CCONJ VERB PRON ADV PRON VERB VERB PART ADP DET NOUN ADP NOUN ADP ADJ NOUN
The faculty of divinity at that moment was dominated by a hard intelligence, Professor Bethune - Baker, known to all behind his back as the Bath Bun.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	figurative	possessive	DET NOUN ADP NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN PROPN PROPN PUNCT PROPN VERB ADP DET ADP ADJ NOUN ADP DET PROPN PROPN
‘ Nor will I have you worry him behind my back.	0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PUNCT CCONJ VERB PRON VERB PRON VERB PRON ADP ADJ NOUN
To hold the sleeve up, the patient may take the collar between his teeth while he reaches behind his neck to bring the shirt behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	PART VERB DET NOUN PART DET NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP PRON VERB ADP ADJ NOUN PART VERB DET NOUN ADP ADJ NOUN
Interlink hands behind your back, palms facing inwards.	0 0 1 1 1 0 0 0	behind someone's back	literal	possessive	VERB NOUN ADP ADJ NOUN NOUN VERB NOUN
Keep your hands behind your back at all times.	0 0 0 1 1 1 0 0 0	behind someone's back	literal	possessive	VERB ADJ NOUN ADP ADJ NOUN ADP DET NOUN
Again Fabia was reminded how this man must really think she would go behind his back to get information about him from his secretary, and her heart settled to an angry beat.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PROPN PROPN VERB VERB ADV DET NOUN VERB ADV VERB PRON VERB VERB ADP ADJ NOUN PART VERB NOUN ADP PRON ADP ADJ NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NOUN
The air left Penry's lungs with an audible hiss as he helped disentangle her, his square white teeth biting into his lower lip when she stood naked in front of him, hands behind her back as she eyed him diffidently.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	behind someone's back	literal	possessive	DET NOUN VERB PROPN NOUN ADP DET ADJ NOUN ADP PRON VERB VERB PRON ADJ ADJ ADJ NOUN VERB ADP ADJ ADJ NOUN ADV PRON VERB ADJ ADP NOUN ADP PRON NOUN ADP PRON ADV ADP PRON VERB PRON ADV
Christina crossed her fingers behind her back.	0 0 0 0 1 1 1	behind someone's back	literal	possessive	PROPN VERB ADJ NOUN ADP ADJ ADV
Hands still bound behind their backs, they were hustled through the gateway.	0 0 0 1 1 1 0 0 0 0 0 0	behind someone's back	literal	combined-inflection	NOUN ADV VERB ADP ADJ NOUN PRON VERB VERB ADP DET NOUN
I imagine that Tom will eventually find out that Mary has been talking behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PRON VERB ADP PROPN VERB ADV VERB PART ADP PROPN VERB VERB VERB ADP ADJ NOUN
Embarrassed, now that he had noticed what was happening, Dyson removed his hand from his jacket pocket and slipped it inconspicuously behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	ADJ ADV ADP PRON VERB VERB NOUN VERB VERB PROPN VERB ADJ NOUN ADP ADJ NOUN NOUN CCONJ VERB PRON ADV ADP ADJ NOUN
The driving force behind the Plazas was undoubtedly Ethel ; to some extent she relished knowing that the Girls called her the slave driver behind her back :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	behind someone's back	figurative	possessive	DET VERB NOUN ADP DET PROPN VERB ADV PROPN PUNCT ADP DET NOUN PRON VERB VERB ADP DET NOUN VERB PRON DET NOUN NOUN ADP ADJ ADV PUNCT
She moved her arm behind her back, and the metal claw responded simultaneously, grasping the air line and plucking it from its housing in the back of the suit.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PRON VERB ADJ NOUN ADP PRON ADV CCONJ DET NOUN NOUN VERB ADV VERB DET NOUN NOUN CCONJ VERB PRON ADP ADJ NOUN ADP DET NOUN ADP DET NOUN
If you have a bone to pick with a person, tell it to his face instead of saying things behind his back.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	ADP PRON VERB DET NOUN PART VERB ADP DET NOUN VERB PRON ADP ADJ NOUN ADV ADP VERB NOUN ADP ADJ NOUN
Look how they all speak ill of me behind my back because I married a woman thirty years younger than me.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	VERB ADV PRON DET VERB ADV ADP PRON ADP ADJ NOUN ADP PRON VERB DET NOUN NUM NOUN ADJ ADP PRON
He was going behind Vincent's back with his ‘ hatred, grudges, chicanery, sarcasm’.	0 0 0 1 1 1 0 0 0 0 0 0 0	behind someone's back	figurative	combined-other	PRON VERB VERB ADP PROPN ADV ADP ADJ ADJ NOUN NOUN NOUN NOUN
‘ Out Patients and the General Theatre, Sister,’ I replied, resisting the urge to salute by holding my hands more tightly behind my back in the correct position for any Benedict's nurse when talking to a senior.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	literal	possessive	PUNCT PART PROPN CCONJ DET PROPN PROPN PROPN PRON VERB VERB DET NOUN PART VERB ADP VERB ADJ NOUN ADV ADV ADP ADJ NOUN ADP DET ADJ NOUN ADP DET PROPN NOUN ADV VERB ADP DET NOUN
Owing to the poor discipline and the hostile attitude of his subordinates towards him, however, he was only able to limit the maltreatment ; behind his back many abuses still occurred.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	behind someone's back	figurative	possessive	VERB ADP DET ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ NOUN ADP PRON ADV PRON VERB ADV ADJ PART VERB DET NOUN PUNCT ADP ADJ ADV ADJ NOUN ADV VERB
Damian lunged after Tony, his face dark with rage as he bit out thickly, ‘ You 're like a bloody wasp, stinging at me — driving up in your red sports car, honking your horn, taking her dancing all over town, kissing her behind my back, sending me a painting of her half naked for my wedding present!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	behind someone's back	figurative	possessive	PROPN VERB ADP PROPN ADJ NOUN ADJ ADP NOUN ADP PRON VERB PART ADV PUNCT PRON VERB ADP DET ADJ NOUN VERB ADP PRON PUNCT VERB PART ADP ADJ ADJ NOUN NOUN VERB ADJ NOUN VERB PRON NOUN ADV ADP NOUN VERB PRON ADP ADJ NOUN VERB PRON DET NOUN ADP ADJ ADV ADJ ADP ADJ NOUN NOUN
I can't believe Wilko is happy with the board going behind his back like that.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	behind someone's back	figurative	possessive	PRON VERB VERB PROPN VERB ADJ ADP DET NOUN VERB ADP ADJ NOUN ADP DET
I didn't know that Tom talked about me like that behind my back.	0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	figurative	possessive	PRON VERB VERB ADP PROPN VERB ADP PRON ADP DET ADP ADJ NOUN
Hold on to the edge of 1 bench with your hands behind your back.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	behind someone's back	literal	possessive	VERB PART ADP DET NOUN ADP NUM NOUN ADP ADJ NOUN ADP ADJ NOUN
