Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET	▁Cut s ▁and ▁c apping ▁have ▁sadly ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 1 1 1 0 0	NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB VERB ADP DET DET
A well aimed flower bomb soon put paid to the battling vegies, but only for a few seconds to give you time to pass, save the children and leave quickly.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB DET NOUN CCONJ VERB ADV	▁A ▁well ▁aimed ▁flower ▁bomb ▁soon ▁put ▁paid ▁to ▁the ▁bat t ling ▁ve g ies , ▁but ▁only ▁for ▁a ▁few ▁seconds ▁to ▁give ▁you ▁time ▁to ▁pass , ▁save ▁the ▁children ▁and ▁leave ▁quickly .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV VERB NOUN NOUN ADV VERB VERB ADP DET VERB VERB VERB NOUN NOUN NOUN NOUN CCONJ ADV ADP DET ADJ NOUN PART VERB PRON NOUN PART VERB VERB VERB DET NOUN CCONJ VERB ADV ADV
Perhaps they have been a touch too comfortable — but the collapse of Elliot and Michael's business has put paid to that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	ADV PRON VERB VERB DET NOUN ADV ADJ PUNCT CCONJ DET NOUN ADP PROPN CCONJ PROPN NOUN VERB VERB VERB ADP DET	▁Perhaps ▁they ▁have ▁been ▁a ▁touch ▁too ▁comfortable ▁ — ▁but ▁the ▁collapse ▁of ▁Elliot ▁and ▁Michael ' s ▁business ▁has ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	ADV PRON VERB VERB DET NOUN ADV ADJ PUNCT PUNCT CCONJ DET NOUN ADP PROPN CCONJ PROPN PROPN PROPN NOUN VERB VERB VERB ADP DET DET
Rachel had imagined that the accident would put paid to Family Day and that the other activities, including the firework display, would be cancelled, but within the hour a message came through from the hospital from Sir Anthony to say that, because miraculously there had been no fatalities, with even the pilot surviving his injuries, it was his express wish that the Family Day celebration should continue.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	PROPN VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PROPN CCONJ ADP DET ADJ NOUN VERB DET NOUN NOUN VERB VERB VERB CCONJ ADP DET NOUN DET NOUN VERB PART ADP DET NOUN ADP PROPN PROPN PART VERB ADP ADP ADV ADV VERB VERB DET NOUN ADP ADV DET NOUN VERB ADJ NOUN PRON VERB ADJ ADJ NOUN ADP DET PROPN PROPN NOUN VERB VERB	▁Ra chel ▁had ▁imagine d ▁that ▁the ▁accident ▁would ▁put ▁paid ▁to ▁Family ▁Day ▁and ▁that ▁the ▁other ▁activities , ▁including ▁the ▁fire work ▁display , ▁would ▁be ▁cancelled , ▁but ▁within ▁the ▁hour ▁a ▁message ▁came ▁through ▁from ▁the ▁hospital ▁from ▁Sir ▁An th ony ▁to ▁say ▁that , ▁because ▁m ira cul ously ▁there ▁had ▁been ▁no ▁fatalities , ▁with ▁even ▁the ▁pilot ▁surviving ▁his ▁injuries , ▁it ▁was ▁his ▁express ▁wish ▁that ▁the ▁Family ▁Day ▁celebration ▁should ▁continue .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PROPN CCONJ ADP DET ADJ NOUN NOUN VERB DET NOUN NOUN NOUN NOUN VERB VERB VERB VERB CCONJ ADP DET NOUN DET NOUN VERB PART ADP DET NOUN ADP PROPN PROPN PROPN PROPN PART VERB ADP ADP ADP ADV ADV ADV ADV ADV VERB VERB DET NOUN NOUN ADP ADV DET NOUN VERB ADJ NOUN NOUN PRON VERB ADJ ADJ NOUN ADP DET PROPN PROPN NOUN VERB VERB VERB
Only I would wish to tell my sister as soon as possible and put paid to her nonsense.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADV PRON VERB VERB PART VERB ADJ NOUN ADV ADV ADP ADJ CCONJ VERB VERB ADP ADJ NOUN	▁Only ▁I ▁would ▁wish ▁to ▁tell ▁my ▁sister ▁as ▁soon ▁as ▁possible ▁and ▁put ▁paid ▁to ▁her ▁nonsense .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV PRON VERB VERB PART VERB ADJ NOUN ADV ADV ADP ADJ CCONJ VERB VERB ADP ADJ NOUN NOUN
But the glint of mockery in his dark eyes put paid to that fantasy.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ DET NOUN ADP NOUN ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN	▁But ▁the ▁gli nt ▁of ▁mock ery ▁in ▁his ▁dark ▁eyes ▁put ▁paid ▁to ▁that ▁fan t asy .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	CCONJ DET NOUN NOUN ADP NOUN NOUN ADP ADJ ADJ NOUN VERB VERB ADP DET NOUN NOUN NOUN NOUN
Of course, the advent of the remote controlled boat may even put paid to any drifter development.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	identical	ADV ADV DET NOUN ADP DET ADJ VERB NOUN VERB ADV VERB VERB ADP DET NOUN NOUN	▁Of ▁course , ▁the ▁advent ▁of ▁the ▁remote ▁controlled ▁boat ▁may ▁even ▁put ▁paid ▁to ▁any ▁drift er ▁development .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	ADV ADV ADV DET NOUN ADP DET ADJ VERB NOUN VERB ADV VERB VERB ADP DET NOUN NOUN NOUN NOUN
Hitler's assault in the summer of 1940 put paid to the agitation for peace negotiations.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PROPN NOUN ADP DET NOUN ADP NUM VERB VERB ADP DET NOUN ADP NOUN NOUN	▁H it ler ' s ▁assault ▁in ▁the ▁summer ▁of ▁19 40 ▁put ▁paid ▁to ▁the ▁agitation ▁for ▁peace ▁negotiations .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN ADP DET NOUN ADP NUM NUM VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN
Unemployment problems put paid to Labour's political prospects in the early 1930s just as much as it had helped the party to rise to political power in the 1920s.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN NOUN VERB VERB ADP PROPN ADJ NOUN ADP DET ADJ NOUN ADV ADV ADV ADP PRON VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP DET NUM	▁Unemployment ▁problems ▁put ▁paid ▁to ▁Labour ' s ▁political ▁prospects ▁in ▁the ▁early ▁19 30 s ▁just ▁as ▁much ▁as ▁it ▁had ▁helped ▁the ▁party ▁to ▁rise ▁to ▁political ▁power ▁in ▁the ▁19 20 s .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB VERB ADP PROPN PROPN PROPN ADJ NOUN ADP DET ADJ NOUN NOUN NOUN ADV ADV ADV ADP PRON VERB VERB DET NOUN PART VERB ADP ADJ NOUN ADP DET NUM NUM NUM NUM
A grim report from the CBI put paid to excitement in the stores sector.	0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	DET ADJ NOUN ADP DET PROPN VERB VERB PART VERB ADP DET NOUN NOUN	▁A ▁g rim ▁report ▁from ▁the ▁C BI ▁put ▁paid ▁to ▁excitement ▁in ▁the ▁stores ▁sector .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	DET ADJ ADJ NOUN ADP DET PROPN PROPN VERB VERB PART VERB ADP DET NOUN NOUN NOUN
Now, high interest rates and recession have put paid to many such schemes.	0 0 0 0 0 0 0 1 1 1 0 0 0	put paid to	figurative	identical	ADV ADJ NOUN NOUN CCONJ NOUN VERB VERB VERB ADP ADJ ADJ NOUN	▁Now , ▁high ▁interest ▁rates ▁and ▁recession ▁have ▁put ▁paid ▁to ▁many ▁such ▁schemes .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV ADV ADJ NOUN NOUN CCONJ NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN
Their manager, Graham Turner, had said before the game that Wolves could still make it into the play - offs, but this result has put paid to those hopes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	ADJ NOUN PROPN PROPN VERB VERB ADP DET NOUN ADJ PROPN VERB ADV VERB PRON ADP DET NOUN PUNCT NOUN CCONJ DET NOUN VERB VERB VERB ADP DET NOUN	▁The ir ▁manager , ▁Gra ham ▁Turner , ▁had ▁said ▁before ▁the ▁game ▁that ▁Wol ves ▁could ▁still ▁make ▁it ▁into ▁the ▁play ▁- ▁off s , ▁but ▁this ▁result ▁has ▁put ▁paid ▁to ▁those ▁hopes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADP DET NOUN ADJ PROPN PROPN VERB ADV VERB PRON ADP DET NOUN PUNCT NOUN NOUN NOUN CCONJ DET NOUN VERB VERB VERB ADP DET NOUN NOUN
Near hurricane force winds and free - roaming sheep put paid to early attempts at planting flowers and shrubs.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP NOUN NOUN NOUN CCONJ ADV PUNCT VERB NOUN VERB VERB ADP ADJ NOUN ADP VERB NOUN CCONJ NOUN	▁Near ▁hurricane ▁force ▁wind s ▁and ▁free ▁- ▁roaming ▁sheep ▁put ▁paid ▁to ▁early ▁attempts ▁at ▁planting ▁flowers ▁and ▁sh ru b s .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN NOUN NOUN CCONJ ADV PUNCT VERB NOUN VERB VERB ADP ADJ NOUN ADP VERB NOUN CCONJ NOUN NOUN NOUN NOUN NOUN
In 1787 Goethe ( then artistic director of the Weimar theatre, and author of a few similar plays ) remarked ruefully that Die Entführung had put paid to all his efforts to keep the Singspiel simple and modest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADP NUM PROPN PUNCT ADV ADJ NOUN ADP DET PROPN NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PUNCT VERB ADV ADP PROPN PROPN VERB VERB VERB ADP ADJ ADJ NOUN PART VERB DET PROPN ADJ CCONJ ADJ	▁In ▁17 87 ▁Goe the ▁( ▁then ▁artistic ▁director ▁of ▁the ▁We i mar ▁theatre , ▁and ▁author ▁of ▁a ▁few ▁similar ▁plays ▁ ) ▁remark ed ▁rue fully ▁that ▁Di e ▁En t f üh r ung ▁had ▁put ▁paid ▁to ▁all ▁his ▁efforts ▁to ▁keep ▁the ▁S ing sp iel ▁simple ▁and ▁modest .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM PROPN PROPN PUNCT ADV ADJ NOUN ADP DET PROPN PROPN PROPN NOUN NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PUNCT PUNCT VERB VERB ADV ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB VERB ADP ADJ ADJ NOUN PART VERB DET PROPN PROPN PROPN PROPN ADJ CCONJ ADJ ADJ
The Koblenz ~ Regional ~ Court ordered the company to pay 1~million marks in fines and put paid to one of the biggest wine - lacing trials in Germany.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET PROPN SYM PROPN PUNCT PROPN VERB DET NOUN PART VERB NUM NOUN ADP NOUN CCONJ VERB VERB ADP NUM ADP DET ADJ NOUN PUNCT VERB NOUN ADP PROPN	▁The ▁Ko ble nz ▁ ~ ▁Regional ▁ ~ ▁Court ▁ordered ▁the ▁company ▁to ▁pay ▁1 ~ million ▁marks ▁in ▁fines ▁and ▁put ▁paid ▁to ▁one ▁of ▁the ▁biggest ▁wine ▁- ▁la c ing ▁trials ▁in ▁Germany .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN SYM SYM PROPN PUNCT PUNCT PROPN VERB DET NOUN PART VERB NUM NUM NUM NOUN ADP NOUN CCONJ VERB VERB ADP NUM ADP DET ADJ NOUN PUNCT VERB VERB VERB NOUN ADP PROPN PROPN
Foul weather with squally winds put paid to an immediate start on the building so it was several months before the engine strip - down could begin under the new roof.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADJ NOUN ADP ADV NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ NOUN ADP DET NOUN NOUN PUNCT NOUN VERB VERB ADP DET ADJ NOUN	▁F oul ▁weather ▁with ▁squa l ly ▁wind s ▁put ▁paid ▁to ▁an ▁immediate ▁start ▁on ▁the ▁building ▁so ▁it ▁was ▁several ▁months ▁before ▁the ▁engine ▁strip ▁- ▁down ▁could ▁begin ▁under ▁the ▁new ▁roof .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN ADP ADV ADV ADV NOUN NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ NOUN ADP DET NOUN NOUN PUNCT NOUN VERB VERB ADP DET ADJ NOUN NOUN
He may be a bit ropey at times but he plays his best for us and don't forget the goals he scored, including one which put paid to the scouse red shite in 1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	PRON VERB VERB DET NOUN ADJ ADP NOUN CCONJ PRON VERB ADJ ADJ ADP PRON CCONJ VERB VERB DET NOUN PRON VERB VERB NUM ADJ VERB VERB ADP DET NOUN ADJ NOUN ADP NUM	▁He ▁may ▁be ▁a ▁bit ▁rope y ▁at ▁times ▁but ▁he ▁plays ▁his ▁best ▁for ▁us ▁and ▁don ' t ▁forget ▁the ▁goals ▁he ▁score d , ▁including ▁one ▁which ▁put ▁paid ▁to ▁the ▁sc ous e ▁red ▁sh ite ▁in ▁1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET NOUN ADJ ADJ ADP NOUN CCONJ PRON VERB ADJ ADJ ADP PRON CCONJ VERB VERB VERB VERB DET NOUN PRON VERB VERB VERB VERB NUM ADJ VERB VERB ADP DET NOUN NOUN NOUN ADJ NOUN NOUN ADP NUM
