So I went all the way down to the door slightly irritated, and what did I see?	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	inflection	ADV PRON VERB ADJ DET NOUN ADV ADP DET NOUN ADV ADJ CCONJ NOUN VERB PRON VERB
Well I 've got, I 've got, gone all the way out there and come back go out again.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	go all the way	literal	inflection	INTJ PRON VERB VERB PRON VERB VERB VERB ADJ DET NOUN ADV ADV CCONJ VERB ADV VERB ADV ADV
She is very tough mentally and determined and should go all the way to a medal.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	identical	PRON VERB ADV ADJ ADV CCONJ VERB CCONJ VERB VERB ADJ DET NOUN ADP DET NOUN
The Limo, a sub-28sec performer, has the style to go all the way in Saturday's final.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	identical	DET PROPN DET ADJ NOUN VERB DET NOUN PART VERB ADJ DET NOUN ADP PROPN ADJ
Italy has also provided extensive coverage, while in New Zealand there has been almost saturation screening of races, no doubt fuelled by the hope that, although the All Blacks and their cricket team failed to win their respective World Cups, New Zealand sailors can go all the way and clinch the oldest international sporting trophy in the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	PROPN VERB ADV VERB ADJ NOUN ADP ADP PROPN PROPN ADV VERB VERB ADV NOUN NOUN ADP NOUN ADV ADV VERB ADP DET NOUN ADP ADP DET PROPN PROPN CCONJ ADJ NOUN NOUN VERB PART VERB ADJ ADJ PROPN PROPN PROPN PROPN NOUN VERB VERB ADJ DET NOUN CCONJ VERB DET ADJ ADJ NOUN NOUN ADP DET NOUN
‘ And I 'm sure he is going all the way to the top, just like Ellery.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go all the way	figurative	inflection	PUNCT CCONJ PRON VERB ADJ PRON VERB VERB ADJ DET NOUN ADP DET NOUN ADV ADP PROPN
‘ Should Middlesbrough win promotion, and go all the way to Wembley, I will be thrilled.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go all the way	figurative	identical	PUNCT VERB PROPN VERB NOUN CCONJ VERB ADJ DET NOUN ADP PROPN PRON VERB VERB VERB
Beck, a physical fitness fanatic, believes he has the confidence and the form to go all the way in this championship.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	identical	PROPN DET ADJ NOUN NOUN VERB PRON VERB DET NOUN CCONJ DET NOUN PART VERB ADJ DET NOUN ADP DET NOUN
And I know what Briant is doing, and why, and though I don't go all the way with him, I go far enough to want to come in on his side.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	CCONJ PRON VERB NOUN PROPN VERB VERB CCONJ ADV CCONJ ADP PRON VERB VERB ADJ DET NOUN ADP PRON PRON VERB ADV ADV PART VERB PART VERB PART ADP ADJ NOUN
Knowing my luck they 'd probably go all the way and burst into tears.	0 0 0 0 0 0 1 1 0 1 0 0 0 0	go all the way	figurative	identical	VERB ADJ NOUN PRON VERB ADV VERB ADJ DET NOUN CCONJ VERB ADP NOUN
Before I left school, the local papers were full of me, They were always saying things like ‘ This boy will go all the way to the top’ and that, and I suppose you could say I took notice of the media.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	ADP PRON VERB NOUN DET ADJ NOUN VERB ADJ ADP PRON PRON VERB ADV VERB NOUN ADP PUNCT DET NOUN VERB VERB ADJ DET NOUN ADP DET NOUN CCONJ DET CCONJ PRON VERB PRON VERB VERB PRON VERB NOUN ADP DET NOUN
Cupertino, California - based Apple Computer Inc, which went all the way to Japan for its last major product introduction, will finally launch its first family of network file servers at CeBit, in Hannover, on March 25, according to US press reports.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	inflection	PROPN PROPN PUNCT VERB PROPN PROPN PROPN ADJ VERB ADJ DET NOUN ADP PROPN ADP ADJ ADJ ADJ NOUN NOUN VERB ADV VERB ADJ ADJ NOUN ADP NOUN NOUN NOUN ADP PROPN ADP PROPN ADP PROPN NUM VERB ADP PROPN NOUN NOUN
‘ I can assure them I will go all the way.’	0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	dashes	PUNCT PRON VERB VERB PRON PRON VERB VERB ADJ DET ADJ
So I 'd gone all the way down there and come back for half price basically, and lost on it.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	inflection	ADV PRON VERB VERB ADJ DET NOUN ADV ADV CCONJ VERB ADV ADP ADJ NOUN ADV CCONJ VERB ADP PRON
Or do you mean that's as far as you 'll be able to go — not all the way? '	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0	go all the way	figurative	combined-other	CCONJ VERB PRON VERB DET ADV ADV ADP PRON VERB VERB ADJ PART VERB PUNCT ADV ADJ DET NOUN PUNCT
They 'd gone all the way and still she didn't feel any of the things one was supposed to feel — elated, contented, together.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	inflection	PRON VERB VERB ADJ DET NOUN CCONJ ADV PRON VERB VERB DET ADP DET NOUN NUM VERB VERB PART VERB PUNCT ADJ ADJ ADV
Peter was feeling irritable, partly because Joe's putative success contrasted with his own failure to acquire a girlfriend, and partly because Jill was reputed to be hot stuff, a chick who positively demanded to go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	PROPN VERB VERB ADJ ADV ADP PROPN ADJ NOUN VERB ADP ADJ ADJ NOUN PART VERB DET NOUN CCONJ ADV ADP PROPN VERB VERB PART VERB ADJ NOUN DET NOUN NOUN ADV VERB PART VERB ADJ DET NOUN
But he warned Quins must play better to go all the way.	0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	CCONJ PRON VERB PROPN VERB VERB ADV PART VERB ADJ DET NOUN
And he's not gon na be all, going all the way down to Devon	0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	inflection	CCONJ PRON ADV VERB PART VERB DET VERB ADJ DET NOUN ADV ADP PROPN
But nine out of 10 said you shouldn't go all the way unless both you and the girl want to.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	go all the way	figurative	identical	CCONJ NUM ADP ADP NUM VERB PRON VERB VERB ADJ DET NOUN ADP CCONJ PRON CCONJ DET NOUN VERB PART
‘ Certainly I have tremendous admiration for Leeds and feel they can go all the way to the European Cup final.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go all the way	figurative	identical	PUNCT ADV PRON VERB ADJ NOUN ADP NOUN CCONJ VERB PRON VERB VERB ADJ DET NOUN ADP DET PROPN PROPN NOUN
His father says Shirley's prepared to go all the way.	0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	ADJ NOUN VERB PROPN ADJ PART VERB ADJ DET NOUN
Sunderland's achievement in reaching the FA Cup final last year is motivating Newcastle, and McDermott said : ‘ We are only three games from Wembley and there is no reason why we too can't go all the way.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	dashes	PROPN NOUN ADP VERB DET PROPN PROPN ADJ ADJ NOUN VERB VERB PROPN CCONJ PROPN VERB PUNCT PUNCT PRON VERB ADV NUM NOUN ADP PROPN CCONJ ADV VERB DET NOUN ADV PRON ADV VERB VERB ADJ DET ADJ
now go all the way along and around and all the way back and stop.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	literal	identical	ADV VERB ADJ DET NOUN ADV CCONJ ADV CCONJ ADJ DET NOUN ADV CCONJ VERB
He could have gone all the way’ his former coach Mahommed Aghredien said.	0 0 0 1 1 0 1 0 0 0 0 0 0	go all the way	figurative	combined-inflection	PRON VERB VERB VERB ADJ DET NOUN ADJ ADJ NOUN PROPN PROPN VERB
I want to go all the way.	0 0 0 1 1 0 1	go all the way	figurative	identical	PRON VERB PART VERB ADJ DET NOUN
Now they look to have a side which could go all the way for the first time.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	go all the way	figurative	identical	ADV PRON VERB PART VERB DET NOUN ADJ VERB VERB ADJ DET NOUN ADP DET ADJ NOUN
You 're too scared about changing gear so you go all the way from here to Glasgow in first.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go all the way	figurative	identical	PRON VERB ADV ADJ ADP VERB NOUN ADV PRON VERB ADJ DET NOUN ADP ADV ADP PROPN ADP ADV
‘ We 've come so far, we might as well go all the way.’	0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	dashes	PUNCT PRON VERB VERB ADV ADV PRON VERB ADV ADV VERB ADJ DET ADJ
He had the usual run of furtive sexual fumblings and persuaded three of his girlfriends ( whom he then held in contempt ) to go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	PRON VERB DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ VERB NUM ADP ADJ NOUN PUNCT NOUN PRON ADV VERB ADP NOUN PUNCT PART VERB ADJ DET NOUN
What all these elements are supposed to do is answer what Sybase claims are the five big reasons that users are unwilling finally to go all the way with open systems as opposed to host or legacy solutions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	NOUN ADJ DET NOUN VERB VERB PART VERB VERB VERB NOUN ADJ NOUN VERB DET NUM ADJ NOUN ADJ NOUN VERB ADJ ADV PART VERB ADJ DET NOUN ADP ADJ NOUN ADP VERB ADP NOUN CCONJ NOUN NOUN
He 'll feel obliged to go all the way to Paddington with her — she 'll never manage all that stuff on her own.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	identical	PRON VERB VERB VERB PART VERB ADJ DET NOUN PART VERB ADP PRON PUNCT PRON VERB ADV VERB ADJ DET NOUN ADP ADJ ADJ
I 'm sure I 'm going all the way this year.	0 0 0 0 0 1 1 0 1 0 0	go all the way	figurative	inflection	PRON VERB ADJ PRON VERB VERB ADJ DET NOUN DET NOUN
We have an under 16 side in the Yorkshire Conference on a Sunday morning, and I reckon three lads in there are going all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	inflection	PRON VERB DET ADP NUM NOUN ADP DET PROPN PROPN ADP DET PROPN NOUN CCONJ PRON VERB NUM NOUN ADP ADV VERB VERB ADJ DET NOUN
So in twenty four hours it will be exactly as it is now having gone all the way round, yes?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	go all the way	literal	inflection	CCONJ ADP NUM NUM NOUN PRON VERB VERB ADV ADP PRON VERB ADV VERB VERB ADJ DET NOUN ADV INTJ
She liked the taste of his mouth, the feel of his tongue caressing hers, but she did not feel threatened by the thought that she might be expected to ' go all the way ' like some poor teenager on a heavy date.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN DET NOUN ADP ADJ NOUN VERB PRON CCONJ PRON VERB ADV VERB VERB ADP DET NOUN ADP PRON VERB VERB VERB PART PUNCT VERB ADJ DET NOUN PUNCT ADP DET ADJ NOUN ADP DET ADJ NOUN
' I went all that way on me day off, and hoped I 'd do some good between them.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	combined-inflection	PUNCT PRON VERB ADJ DET NOUN ADP PRON NOUN PART CCONJ VERB PRON VERB VERB DET NOUN ADP PRON
Mr James claimed that this was unlawful sex discrimination and his case went all the way to the House of Lords.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go all the way	figurative	inflection	PROPN PROPN VERB ADP DET VERB ADJ NOUN NOUN CCONJ ADJ NOUN VERB ADJ DET NOUN ADP DET PROPN ADP PROPN
The second is the fact that we tend to make ourselves miserable by exploring the limits to which we can resist the temptation to go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	DET NOUN VERB DET NOUN ADP PRON VERB PART VERB PRON ADJ ADP VERB DET NOUN PART ADJ PRON VERB VERB DET NOUN PART VERB ADJ DET NOUN
What all these elements are supposed to do is answer what Sybase claims are the five big reasons users are unwilling to finally go all the way with open systems as opposed to host or legacy solutions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	NOUN ADJ DET NOUN VERB VERB PART VERB VERB VERB NOUN ADJ NOUN VERB DET NUM ADJ NOUN NOUN VERB ADJ PART ADV VERB ADJ DET NOUN ADP ADJ NOUN ADP VERB ADP NOUN CCONJ NOUN NOUN
The fumes of the wine had not been entirely dissipated and she felt too lazy to go all the way to the village and tell Dr Wyn about her ears.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	literal	identical	DET NOUN ADP DET NOUN VERB ADV VERB ADV VERB CCONJ PRON VERB ADV ADJ PART VERB ADJ DET NOUN ADP DET NOUN CCONJ VERB PROPN PROPN ADP ADJ NOUN
Petting including anything short of ‘ going all the way’.	0 0 0 0 0 0 1 1 0 1	go all the way	figurative	combined-inflection	VERB VERB NOUN ADJ ADP PRON VERB ADJ DET NOUN
I drift back indoors, in case she decides to go all the way and tip me over the edge while she's at it.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	PRON VERB ADV NOUN ADP NOUN PRON VERB PART VERB ADJ DET NOUN CCONJ VERB PRON ADP DET NOUN ADP PRON ADP PRON
So it's the same water going all the way round, it's the same current going all the way through here, so if we 've got ten gallons a minute of electricity coming in there, say ten amps,	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	literal	inflection	ADV PRON DET ADJ NOUN VERB ADJ DET NOUN ADV PRON DET ADJ NOUN VERB ADJ DET NOUN ADP ADV CCONJ ADP PRON VERB VERB NUM NOUN DET NOUN ADP NOUN VERB ADV ADV VERB NUM NOUN
Carole King, the sharpest female lyricist of all time, ponders going all the way and whether her lover would still respect her in the morning.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	inflection	PROPN PROPN DET ADJ ADJ NOUN ADP DET NOUN NOUN VERB ADJ DET NOUN CCONJ ADP ADJ NOUN VERB ADV VERB PRON ADP DET NOUN
In a group effort, like a publication or a magazine, you know, you don't have to hold people back, they 'll go all the way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go all the way	figurative	identical	ADP DET NOUN NOUN ADP DET NOUN CCONJ DET NOUN PRON VERB PRON VERB VERB PART VERB NOUN ADV PRON VERB VERB ADJ DET NOUN
‘ Lots of girls go all the way, now, my darling ; girls who would have said no, before,’ he said, not understanding her.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	PUNCT NOUN ADP NOUN VERB ADJ DET NOUN ADV ADJ NOUN PUNCT NOUN NOUN VERB VERB VERB INTJ VERB PRON VERB ADV VERB PRON
I suppose it goes all the way round does it?	0 0 0 1 1 0 1 0 0 0	go all the way	figurative	inflection	PRON VERB PRON VERB ADJ DET NOUN ADV VERB PRON
And and what I 've got in front of me, David Lock, what I 've got in front of me is is erm, and I know David's got it David Allenby's got it as well, is the er paper from Harrogate's Economic Development Officer to his Economic Development Sub - Committee, and it's gone all the way through the process now and through the main council, where he has to answer that very question and I couldn't put it better.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	inflection	CCONJ CCONJ NOUN PRON VERB VERB ADP NOUN ADP PRON PROPN PROPN NOUN PRON VERB VERB ADP NOUN ADP PRON VERB VERB NOUN CCONJ PRON VERB PROPN VERB PRON PROPN PROPN VERB PRON ADV ADV VERB DET INTJ NOUN ADP PROPN PROPN PROPN PROPN ADP ADJ PROPN PROPN PROPN PUNCT PROPN CCONJ PRON VERB ADJ DET NOUN ADP DET NOUN ADV CCONJ ADP DET ADJ NOUN ADV PRON VERB PART VERB DET ADJ NOUN CCONJ PRON VERB VERB PRON ADV
' Andy is in good shape and I 'm expecting him to go all the way this year '.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	go all the way	figurative	identical	PUNCT PROPN VERB ADP ADJ NOUN CCONJ PRON VERB VERB PRON PART VERB ADJ DET NOUN DET NOUN PUNCT
You 've gone all that way for nothing?	0 0 1 1 0 1 0 0	go all the way	literal	combined-inflection	PRON VERB VERB ADJ DET NOUN ADP NOUN
If you went all the way across the Lake of Dreams you 'd end up in the Lake of Death.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	inflection	ADP PRON VERB ADJ DET NOUN ADP DET PROPN ADP PROPN PRON VERB VERB PART ADP DET PROPN ADP PROPN
Now older and perhaps a little more clay - wise, with a win already this year over Monica Seles at Key Biscayne and with her father Stefano as her coach once again, she may well be settled enough to go all the way for the first time, which of course, would be a remarkable achievement for a 16 year old.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go all the way	figurative	identical	ADV ADJ CCONJ ADV DET ADJ ADJ NOUN PUNCT ADJ ADP DET NOUN ADV DET NOUN ADP PROPN PROPN ADP PROPN PROPN CCONJ ADP ADJ NOUN PROPN ADP ADJ NOUN ADV ADV PRON VERB ADV VERB VERB ADV PART VERB ADJ DET NOUN ADP DET ADJ NOUN ADJ ADP NOUN VERB VERB DET ADJ NOUN ADP DET NUM NOUN ADJ
JTR went all the way in the Iona to Arran.	0 1 1 0 1 0 0 0 0 0	go all the way	literal	inflection	PROPN VERB ADJ DET NOUN ADP DET PROPN ADP PROPN
