He gives me the creeps, so I looked round, hmm hmm.	0 1 1 0 1 0 0 0 0 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN CCONJ PRON VERB ADV INTJ INTJ	▁He ▁gives ▁me ▁the ▁creep s , ▁so ▁I ▁looked ▁round , ▁h mm ▁h mm .	0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON DET NOUN NOUN NOUN CCONJ PRON VERB ADV ADV INTJ INTJ INTJ INTJ INTJ
‘ This place, it gives me the creeps.	0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PUNCT DET NOUN PRON VERB PRON DET NOUN	▁ ‘ ▁This ▁place , ▁it ▁gives ▁me ▁the ▁creep s .	0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT DET NOUN NOUN PRON VERB PRON DET NOUN NOUN NOUN
‘ He still gives me the creeps,’ said Lydia.	0 0 0 1 1 0 1 0 0	give someone the creeps	figurative	combined-inflection	PUNCT PRON ADV VERB PRON DET NOUN VERB PROPN	▁ ‘ ▁He ▁still ▁gives ▁me ▁the ▁creep s , ’ ▁said ▁L y dia .	0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0	PUNCT PUNCT PRON ADV VERB PRON DET NOUN NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN
Gives me the creeps!	1 1 0 1	give someone the creeps	figurative	combined-inflection	VERB PRON DET NOUN	▁Give s ▁me ▁the ▁creep s !	1 1 1 0 1 1 1	VERB VERB PRON DET NOUN NOUN NOUN
For this place really gives me the creeps.	0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	ADP DET NOUN ADV VERB PRON DET NOUN	▁For ▁this ▁place ▁really ▁gives ▁me ▁the ▁creep s .	0 0 0 0 1 1 0 1 1 1	ADP DET NOUN ADV VERB PRON DET NOUN NOUN NOUN
He seemed completely in his element, though all those monks flitting round the place rather gave me the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB ADV ADP ADJ NOUN ADP ADJ DET NOUN VERB ADV DET NOUN ADV VERB PRON DET NOUN	▁He ▁seemed ▁completely ▁in ▁his ▁element , ▁though ▁all ▁those ▁mon ks ▁fl itting ▁round ▁the ▁place ▁rather ▁gave ▁me ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PRON VERB ADV ADP ADJ NOUN NOUN ADP ADJ DET NOUN NOUN VERB VERB ADV DET NOUN ADV VERB PRON DET NOUN NOUN NOUN
‘ I don't mind telling you, Doctor, Mrs Carrow gave me the creeps sometimes when I took on looking after Miss Celia.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	give someone the creeps	figurative	combined-inflection	PUNCT PRON VERB VERB VERB PRON PROPN PROPN PROPN VERB PRON DET NOUN ADV ADV PRON VERB PART VERB ADP PROPN PROPN	▁ ‘ ▁I ▁don ' t ▁mind ▁telling ▁you , ▁Doctor , ▁Mrs ▁C arrow ▁gave ▁me ▁the ▁creep s ▁sometimes ▁when ▁I ▁took ▁on ▁looking ▁after ▁Miss ▁Cel ia .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB VERB PRON PRON PROPN PROPN PROPN PROPN PROPN VERB PRON DET NOUN NOUN ADV ADV PRON VERB PART VERB ADP PROPN PROPN PROPN PROPN
His face remained when the others had gone, sharp - boned and predatory, his eyes hungry, his smile still giving her the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	ADJ NOUN VERB ADV DET NOUN VERB VERB ADV PUNCT ADJ CCONJ ADJ ADJ NOUN ADJ ADJ NOUN ADV VERB PRON DET NOUN	▁His ▁face ▁remained ▁when ▁the ▁others ▁had ▁gone , ▁sharp ▁- ▁boned ▁and ▁pre d atory , ▁his ▁eyes ▁hungry , ▁his ▁smile ▁still ▁giving ▁her ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	ADJ NOUN VERB ADV DET NOUN VERB VERB VERB ADV PUNCT ADJ CCONJ ADJ ADJ ADJ ADJ ADJ NOUN ADJ ADJ ADJ NOUN ADV VERB PRON DET NOUN NOUN NOUN
They used to give us the creeps.’	0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB PART VERB PRON DET X	▁They ▁used ▁to ▁give ▁us ▁the ▁creep s . ’	0 0 0 1 1 0 1 1 1 1	PRON VERB PART VERB PRON DET X X X X
It gave him the creeps from the start.	0 1 1 0 1 0 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN ADP DET NOUN	▁It ▁gave ▁him ▁the ▁creep s ▁from ▁the ▁start .	0 1 1 0 1 1 0 0 0 0	PRON VERB PRON DET NOUN NOUN ADP DET NOUN NOUN
What Trudy and Juanita and the rest of them are trying to say, it seems to me, is that Tod gives them the creeps.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	give someone the creeps	figurative	combined-inflection	NOUN PROPN CCONJ PROPN CCONJ DET NOUN ADP PRON VERB VERB PART VERB PRON VERB ADP PRON VERB ADP PROPN VERB PRON DET NOUN	▁What ▁Tru dy ▁and ▁Juan ita ▁and ▁the ▁rest ▁of ▁them ▁are ▁trying ▁to ▁say , ▁it ▁seems ▁to ▁me , ▁is ▁that ▁To d ▁gives ▁them ▁the ▁creep s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	NOUN PROPN PROPN CCONJ PROPN PROPN CCONJ DET NOUN ADP PRON VERB VERB PART VERB VERB PRON VERB ADP PRON PRON VERB ADP PROPN PROPN VERB PRON DET NOUN NOUN NOUN
The old houses give you the creeps don't they Bill?	0 0 0 1 1 0 1 0 0 0	give someone the creeps	figurative	objective	DET ADJ NOUN VERB PRON DET NOUN VERB PRON PROPN	▁The ▁old ▁houses ▁give ▁you ▁the ▁creep s ▁don ' t ▁they ▁Bill ?	0 0 0 1 1 0 1 1 0 0 0 0 0 0	DET ADJ NOUN VERB PRON DET NOUN NOUN VERB VERB VERB PRON PROPN PROPN
He gives me the creeps.	0 1 1 0 1	give someone the creeps	figurative	combined-inflection	PRON VERB PRON DET NOUN	▁He ▁gives ▁me ▁the ▁creep s .	0 1 1 0 1 1 1	PRON VERB PRON DET NOUN NOUN NOUN
Those two were going to give her the creeps if she really had to take them all the way to Titan.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	give someone the creeps	figurative	objective	DET NUM VERB VERB PART VERB PRON DET NOUN ADP PRON ADV VERB PART VERB PRON ADJ DET NOUN ADP PROPN	▁T hose ▁two ▁were ▁going ▁to ▁give ▁her ▁the ▁creep s ▁if ▁she ▁really ▁had ▁to ▁take ▁them ▁all ▁the ▁way ▁to ▁Ti tan .	0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET NUM VERB VERB PART VERB PRON DET NOUN NOUN ADP PRON ADV VERB PART VERB PRON ADJ DET NOUN ADP PROPN PROPN PROPN
I didn't much like it, mice and such like have always given me the creeps, but I did feel sorry for it being shut up.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	give someone the creeps	figurative	combined-inflection	PRON VERB ADV ADP PRON NOUN CCONJ ADJ INTJ VERB ADV VERB PRON DET NOUN CCONJ PRON VERB VERB ADJ ADP PRON VERB VERB PART	▁I ▁did n ' t ▁much ▁like ▁it , ▁mice ▁and ▁such ▁like ▁have ▁always ▁given ▁me ▁the ▁creep s , ▁but ▁I ▁did ▁feel ▁sorry ▁for ▁it ▁being ▁shut ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB ADV ADP PRON PRON NOUN CCONJ ADJ INTJ VERB ADV VERB PRON DET NOUN NOUN NOUN CCONJ PRON VERB VERB ADJ ADP PRON VERB VERB PART PART
