After this the paths taken by the books change.	0 0 0 0 0 1 0 1 0	by the book	literal	inflection	ADP DET DET NOUN VERB ADP DET NOUN VERB
When they entered his rooms, in answer to his hearty ' Come in! ' they found him sitting in the broken armchair, surrounded by books, his feet comfortably supported by a small wooden stool.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	ADV PRON VERB ADJ NOUN ADP NOUN ADP ADJ ADJ PUNCT VERB PART PUNCT PRON VERB PRON VERB ADP DET ADJ NOUN VERB ADP NOUN ADJ NOUN ADV VERB ADP DET ADJ ADJ NOUN
The story was also fuelled by a book, My Turn to Speak, written by Abdolhassan Bani - Sadr, who had been President of Iran in 1980 - 81.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	DET NOUN VERB ADV VERB ADP DET NOUN ADJ NOUN PART VERB VERB ADP PROPN PROPN PUNCT PROPN NOUN VERB VERB PROPN ADP PROPN ADP NUM SYM NUM
Tanks and guns bombarding one's inside seemed totally out of place, so I sought inspiration in earlier times, in the knowledge that what was once just as hideous has, over the years been softened by children's books, Morte d'Arthur and the legends of chivalry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	by the book	literal	combined-inflection	NOUN CCONJ NOUN VERB PRON NOUN VERB ADV ADP ADP NOUN CCONJ PRON VERB NOUN ADP ADJ NOUN ADP DET NOUN ADP NOUN VERB ADV ADV ADP ADJ VERB ADP DET NOUN VERB VERB ADP NOUN NOUN PROPN PROPN CCONJ DET NOUN ADP NOUN
And there are readers who have been deeply moved and impressed in the ways that we have described by books that can not be described as the best of anything.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	CCONJ ADV VERB NOUN NOUN VERB VERB ADV VERB CCONJ ADJ ADP DET NOUN ADJ PRON VERB VERB ADP NOUN ADJ VERB ADV VERB VERB ADP DET ADJ ADP NOUN
When these problems are suddenly posed by a book such as ours, they will quite understandably assume the form of revelation, or of sacrilege.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	ADV DET NOUN VERB ADV VERB ADP DET NOUN ADJ ADP PRON PRON VERB ADV ADV VERB DET NOUN ADP NOUN CCONJ ADP NOUN
Colour science is well served by books on specific aspects of the subject, many of which are published by the Society of Dyers and Colourists.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	PROPN NOUN VERB ADV VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN ADJ ADP ADJ VERB VERB ADP DET PROPN ADP PROPN CCONJ PROPN
The sane constable rapidly learnt to withstand the pressure from his seniors to work by the book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	DET ADJ NOUN ADV VERB PART VERB DET NOUN ADP ADJ NOUN PART VERB ADP DET NOUN
I have often observed how little young ladies are interested by books of a serious stamp, though written solely for their benefit.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	PRON VERB ADV VERB ADV ADJ ADJ NOUN VERB ADJ ADP NOUN ADP DET ADJ NOUN ADP VERB ADV ADP ADJ NOUN
Sometimes you are more touched by a book that seems to belong to you alone rather than to the world.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	ADV PRON VERB ADV VERB ADP DET NOUN ADJ VERB PART VERB ADP PRON ADJ ADV ADP ADP DET NOUN
Oh bugger me I 'm, there's no way I 'm not doing it by the books	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	inflection	INTJ VERB PRON PRON NUM ADV DET NOUN PRON VERB ADV VERB PRON ADP DET NOUN
He threw his greatcoat over his shoulders and then, remembering ' By - the - book ' Campbell, donned it properly.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	by the book	figurative	combined-other	PRON VERB ADJ NOUN ADP ADJ NOUN CCONJ ADV VERB PUNCT ADP PUNCT DET PUNCT NOUN PUNCT PROPN VERB PRON ADV
It was crammed with boxes and piled by books.	0 0 0 0 0 0 0 1 1	by the book	literal	deletion-determiner	PRON VERB VERB ADP NOUN CCONJ VERB ADP NOUN
‘ They were doing everything by the book.	0 0 0 0 0 1 0 1	by the book	figurative	identical	PUNCT PRON VERB VERB NOUN ADP DET NOUN
Read all about it — Sara Robinson and Mike Johnson go by the book	0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	VERB ADV ADP PRON PUNCT PROPN PROPN CCONJ PROPN PROPN VERB ADP DET NOUN
The only certainty, however, was prophetically forecast by the 1989 book A Chemistry for Success, which charted the rise and rise of MTM.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	insertion-other	DET ADJ NOUN ADV VERB ADV VERB ADP DET NUM NOUN DET PROPN ADP PROPN ADJ VERB DET NOUN CCONJ NOUN ADP PROPN
Her imagination was obviously being fed by the school and by the books.	0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	literal	inflection	ADJ NOUN VERB ADV VERB VERB ADP DET NOUN CCONJ ADP DET NOUN
The pair have reportedly clashed over who runs the commercial side of the club, and their relationship is not helped by a new book by former chairman Irving Scholar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	by the book	literal	combined-other	DET NOUN VERB ADV VERB ADP NOUN VERB DET ADJ NOUN ADP DET NOUN CCONJ ADJ NOUN VERB ADV VERB ADP DET ADJ NOUN ADP ADJ NOUN PROPN PROPN
It was defended by careful missionary work, by books of edification and by the practice of the pilgrimages to Jerusalem.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	PRON VERB VERB ADP ADJ ADJ NOUN ADP NOUN ADP NOUN CCONJ ADP DET NOUN ADP DET NOUN ADP PROPN
Because a lot of the profits, that would er, be generated by this book is being put back into	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	by the book	literal	determiner-narrow	ADP DET NOUN ADP DET NOUN ADJ VERB INTJ VERB VERB ADP DET NOUN VERB VERB VERB ADV ADP
Takeover offers are regulated primarily by the City Code but are also affected by the Yellow Book ( where the acquirer or the target company is listed on the London Stock Exchange ) the CA 1985 and the FSA.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-other	NOUN NOUN VERB VERB ADV ADP DET PROPN PROPN CCONJ VERB ADV VERB ADP DET PROPN PROPN PUNCT ADV DET NOUN CCONJ DET NOUN NOUN VERB VERB ADP DET PROPN PROPN PROPN PUNCT DET PROPN NUM CCONJ DET NOUN
You have done everything by the book and your water is spot on, but green water is truly a natural part of maturation and nothing to worry about in itself.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	PRON VERB VERB NOUN ADP DET NOUN CCONJ ADJ NOUN VERB NOUN PART CCONJ ADJ NOUN VERB ADV DET ADJ NOUN ADP NOUN CCONJ NOUN PART VERB ADP ADP PRON
Not one important industrial process was produced by Asia or Africa during the period covered by this book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	literal	determiner-narrow	ADV NUM ADJ ADJ NOUN VERB VERB ADP PROPN CCONJ PROPN ADP DET NOUN VERB ADP DET NOUN
No - one expects you to go by the book ; it's not your speed.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	by the book	literal	identical	DET PUNCT NOUN VERB PRON PART VERB ADP DET NOUN PUNCT PRON ADV ADJ ADJ
The exhibition will be accompanied by an associated book and catalogue written by S B Kennedy of the Ulster Museum.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-other	DET NOUN VERB VERB VERB ADP DET ADJ NOUN CCONJ NOUN VERB ADP PROPN PROPN PROPN ADP DET PROPN PROPN
she's doing everything by the book I think, so	0 0 0 1 0 1 0 0 0	by the book	figurative	identical	PRON VERB NOUN ADP DET NOUN PRON VERB ADV
That was before he came to recognize that Karnstein was using this by - the - book method of criticism to show displeasure at the nature of their business.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	by the book	figurative	dashes	DET VERB ADP PRON VERB PART VERB ADP PROPN VERB VERB DET ADP PUNCT DET PUNCT NOUN NOUN ADP NOUN PART VERB NOUN ADP DET NOUN ADP ADJ NOUN
He smiles, waves, is clearly over - worked, over - stretched, in a hurry, but glad to stop and pass the time of day helped by our Czech phrase book and my appalling German.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	by the book	literal	combined-other	PRON VERB NOUN VERB ADV ADV PUNCT VERB ADV PUNCT ADJ ADP DET NOUN CCONJ ADJ PART VERB CCONJ VERB DET NOUN ADP NOUN VERB ADP ADJ ADJ NOUN NOUN CCONJ ADJ ADJ ADJ
do it totally by the book, and	0 0 0 1 0 1 0	by the book	figurative	identical	VERB PRON ADV ADP DET NOUN CCONJ
How she wishes she were back in her snug little house, tapping away on her word - processor, dissecting the lexemes of some classic Victorian novel, delicately detaching the hermeneutic code from the proairetic code, the cultural from the symbolic, surrounded by books and files, the gas fire hissing and a cup of coffee steaming at her elbow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	deletion-determiner	ADV PRON VERB PRON VERB ADV ADP ADJ NOUN ADJ NOUN VERB ADV ADP ADJ NOUN PUNCT NOUN VERB DET NOUN ADP DET ADJ ADJ NOUN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN DET ADJ ADP DET NOUN VERB ADP NOUN CCONJ NOUN DET NOUN NOUN NOUN CCONJ DET NOUN ADP NOUN VERB ADP ADJ NOUN
The figures in this series are complete for the period covered by this book apart from a short gap between 1403 and 1411.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	DET NOUN ADP DET NOUN VERB ADJ ADP DET NOUN VERB ADP DET NOUN ADV ADP DET ADJ NOUN ADP NUM CCONJ NUM
The revitalised image of the historic Phaidon Press is well reflected by these two related books in which accurate and informed scholarship is conveyed to a wider and more popular audience than under the old dispensation.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	DET VERB NOUN ADP DET ADJ PROPN PROPN VERB ADV VERB ADP DET NUM ADJ NOUN ADP ADJ ADJ CCONJ ADJ NOUN VERB VERB ADP DET ADJ CCONJ ADV ADJ NOUN ADP ADP DET ADJ NOUN
As we have already noted, David Rolfe did likewise in his widely publicised series Jesus : the Evidence, which was followed by a book bearing the same title.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	by the book	literal	determiner-narrow	ADP PRON VERB ADV VERB PROPN PROPN VERB ADV ADP ADJ ADV VERB NOUN PROPN PUNCT DET NOUN ADJ VERB VERB ADP DET NOUN VERB DET ADJ NOUN
… Its report restored to the public a sense of security, which had been badly shaken by Lord Hewart's book, and which subsequent events have proved to be false.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	by the book	literal	combined-other	PUNCT ADJ NOUN VERB ADP DET NOUN DET NOUN ADP NOUN ADJ VERB VERB ADV VERB ADP PROPN PROPN NOUN CCONJ ADJ ADJ NOUN VERB VERB PART VERB ADJ
It is known that the sea is cruel, but it is also humourless, so few laughs are prompted by this book and after some glum pages it is easy to crave even the schoolboy humour of Stephen Leacock's skit, Soaked in Seaweed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	PRON VERB VERB ADP DET NOUN VERB ADJ CCONJ PRON VERB ADV ADJ ADV ADJ NOUN VERB VERB ADP DET NOUN CCONJ ADP DET NOUN NOUN PRON VERB ADJ PART VERB ADV DET NOUN NOUN ADP PROPN PROPN NOUN VERB ADP PROPN
The ground covered by both books is, in the early stages, fairly similar.	0 0 0 1 0 1 0 0 0 0 0 0 0	by the book	literal	determiner-broad	DET NOUN VERB ADP DET NOUN VERB ADP DET ADJ NOUN ADV ADJ
There's a nice china dog on the side by some books, but I don't go over and have a look.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-broad	ADV DET ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN CCONJ PRON VERB VERB ADV CCONJ VERB DET NOUN
The terror and the execution of the king paralysed and disgusted those intellectuals who, formed by French books and sharing the ideologies which had inspired the moderates in 1789, now saw ordered progress drowned in blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-broad	DET NOUN CCONJ DET NOUN ADP DET NOUN ADJ CCONJ VERB DET NOUN NOUN VERB ADP ADJ NOUN CCONJ VERB DET NOUN ADJ VERB VERB DET NOUN ADP NUM ADV VERB VERB NOUN VERB ADP NOUN
Mr Winner, most of whose efforts with the camera thus far have been studies of his girlfriend, actress Jenny Seagrove, was paid £ 200 by the book's publishers for his Gielgud picture.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	by the book	literal	identical	PROPN PROPN ADJ ADP ADJ NOUN ADP DET NOUN ADV ADV VERB VERB NOUN ADP ADJ NOUN NOUN PROPN PROPN VERB VERB SYM NUM ADP DET NOUN NOUN ADP ADJ PROPN NOUN
Such previously unimaginable impertinences must not only be done by the book : they must be seen to be too.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	by the book	figurative	identical	ADJ ADV ADJ NOUN VERB ADV ADV VERB VERB ADP DET NOUN PUNCT PRON VERB VERB VERB PART VERB ADV
But the police had been called so everything had to be done by the book.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	CCONJ DET NOUN VERB VERB VERB ADP NOUN VERB PART VERB VERB ADP DET NOUN
‘ I 'm ordered to give you these things,’ Harvey said, as though he didn't want to really, but I don't think he meant that — he was just over - keen to do everything by the book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	PUNCT PRON VERB VERB PART VERB PRON DET NUM PROPN VERB ADP ADP PRON VERB VERB PART ADV CCONJ PRON VERB VERB PRON VERB ADP PUNCT PRON VERB ADV ADV PUNCT ADJ PART VERB NOUN ADP DET NOUN
Robin Williams, Dead Poets Society : see Critic's choice Virginia Mayo and James Cagney in Raoul Walsh's classic 1949 production of White Heat … even movies as good as this can't live up to the praise lavished on them by some film reference books : see Critic's choice Hear no equal, see no equal …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	PROPN PROPN PROPN PROPN PROPN PUNCT VERB NOUN NOUN PROPN PROPN CCONJ PROPN PROPN ADP PROPN PROPN ADJ NUM NOUN ADP PROPN PROPN PUNCT ADV NOUN ADV ADJ ADP DET VERB VERB PART ADP DET NOUN VERB ADP PRON ADP DET NOUN NOUN NOUN PUNCT VERB NOUN NOUN VERB ADV ADJ VERB DET ADJ PUNCT
But despite all efforts, worship of the old gods and goddesses continued throughout the land of Israel and even on occasion at the Temple of Jerusalem itself — as evidenced by the books of Kings and Chronicles, which refer to events of the seventh and sixth centuries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	inflection	CCONJ ADP DET NOUN NOUN ADP DET ADJ NOUN CCONJ NOUN VERB ADP DET NOUN ADP PROPN CCONJ ADV ADP NOUN ADP DET PROPN ADP PROPN PRON PUNCT ADP VERB ADP DET NOUN ADP NOUN CCONJ NOUN ADJ VERB ADP NOUN ADP DET ADJ CCONJ ADJ NOUN
‘ Sometimes everyone becomes so intent on doing things by the book, the real needs of the customer may be overlooked.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	PUNCT ADV NOUN VERB ADV ADJ ADP VERB NOUN ADP DET NOUN DET ADJ NOUN ADP DET NOUN VERB VERB VERB
In general, wherever the officer believes a case to be one which may come to his supervisor's knowledge, it is appropriate to err on the side of caution, to ‘ go by the book’ and protect himself from criticism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	by the book	figurative	dashes	ADP ADJ ADV DET NOUN VERB DET NOUN PART VERB NUM ADJ VERB VERB ADP ADJ NOUN NOUN PRON VERB ADJ PART VERB ADP DET NOUN ADP NOUN ADP PUNCT NOUN ADP DET NOUN CCONJ VERB PRON ADP NOUN
The mounted soldier still had a long way to go and his influence was very considerable in the whole period covered by this book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	literal	determiner-narrow	DET VERB NOUN ADV VERB DET ADJ NOUN PART VERB CCONJ ADJ NOUN VERB ADV ADJ ADP DET ADJ NOUN VERB ADP DET NOUN
Geodemographics, he added, could be used for targeting direct mail, analysing retail catchment areas, market research sampling, databases, by local authorities for utilities planning — and by the book trade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	by the book	figurative	identical	NOUN PRON VERB VERB VERB VERB ADP VERB ADJ NOUN VERB ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADP ADJ NOUN ADP NOUN NOUN PUNCT CCONJ ADP DET NOUN NOUN
The heterogeneity of French solo song at the beginning of the century is shown by the six books of Airs de différents autheurs published by the lutenist Gabriel Bataille ( 1575–1630 ) during 1609–15 ; each book consists partly of his own compositions, partly of airs de cour and psalm - settings by Pierre Guedron ( d. 1621 ), Le Jeune's successor as Compositeur de la chambre du Roi, Guedron's son - in - law Antoine Boesset ( 1586–1643 ), the elderly Mauduit, and others.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	DET NOUN ADP ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NUM NOUN ADP PROPN X NOUN NOUN VERB ADP DET ADJ PROPN PROPN PUNCT NUM PUNCT ADP NUM PUNCT DET NOUN VERB ADV ADP ADJ ADJ NOUN ADV ADP NOUN X VERB CCONJ NOUN PUNCT NOUN ADP PROPN PROPN PUNCT NOUN NUM PUNCT PROPN PROPN NOUN ADP PROPN ADP DET NOUN PROPN PROPN PROPN NOUN PUNCT ADP PUNCT NOUN PROPN PROPN PUNCT NUM PUNCT DET ADJ PROPN CCONJ NOUN
A lesser man than the Archdeacon would have made a mental note to avoid this rash abandonment of the riches offered by the Prayer Book collect in favour of a misshapen modernity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	by the book	literal	combined-other	DET ADJ NOUN ADP DET PROPN VERB VERB VERB DET ADJ NOUN PART VERB DET ADJ NOUN ADP DET NOUN VERB ADP DET PROPN PROPN VERB ADP NOUN ADP DET ADJ NOUN
Hopefully when I get a new tank set up, I will have more success in numbers by going by the book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	ADV ADV PRON VERB DET ADJ NOUN VERB PART PRON VERB VERB ADJ NOUN ADP NOUN ADP VERB ADP DET NOUN
It was only with the American - led development from the 1900s of geriatric medicine as a new specialty, followed in the interwar years by self - help books and clubs encouraging older people to keep fit, travel, keep working, and — at least from the 1950s — stay sexually active, that informed European opinion began once more to swing towards a positive view of ageing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	PRON VERB ADV ADP DET PROPN PUNCT VERB NOUN ADP DET NUM ADP ADJ NOUN ADP DET ADJ NOUN VERB ADP DET ADJ NOUN ADP NOUN PUNCT NOUN NOUN CCONJ NOUN VERB ADJ NOUN PART VERB ADJ NOUN VERB VERB CCONJ PUNCT ADP ADJ ADP DET NUM PUNCT VERB ADV ADJ ADP VERB ADJ NOUN VERB ADV ADV PART VERB ADP DET ADJ NOUN ADP VERB
Not only did the existence of a divided society help fuel party tensions under William and Anne, but taking the longer perspective covered by this book as a whole, it might even be fair to suggest that the emergence of the party divide amongst the political elite was itself a symptom of the bitter divisions that already existed in this society, divisions which we have traced back to the Restoration in 1660.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	determiner-narrow	ADV ADV VERB DET NOUN ADP DET VERB NOUN NOUN NOUN NOUN NOUN ADP PROPN CCONJ PROPN CCONJ VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB PRON DET NOUN ADP DET ADJ NOUN ADJ ADV VERB ADP DET NOUN NOUN ADJ PRON VERB VERB ADV ADP DET PROPN ADP NUM
His embarrassment about self - disclosure gives the impression, belied by his other books, that he knew nothing of the mystery that grace works by means of human weakness, not by side - stepping it.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	ADJ NOUN ADP NOUN PUNCT NOUN VERB DET NOUN VERB ADP ADJ ADJ NOUN ADP PRON VERB NOUN ADP DET NOUN DET NOUN VERB ADP NOUN ADP ADJ NOUN ADV ADP NOUN PUNCT VERB PRON
