‘ It was touch and go financially,’ says Rudd.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB PROPN VERB PROPN	▁ ‘ ▁It ▁was ▁touch ▁and ▁go ▁financially , ’ ▁says ▁Ru dd .	0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB NOUN CCONJ VERB PROPN PROPN PROPN VERB PROPN PROPN PROPN
The doctor says it's her only chance, but it's touch and go, seemingly, and she's asking for you.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	touch and go	figurative	identical	DET NOUN VERB PRON ADJ ADJ NOUN CCONJ PRON NOUN CCONJ VERB ADV CCONJ PRON VERB ADP NOUN	▁The ▁doctor ▁says ▁it ' s ▁her ▁only ▁chance , ▁but ▁it ' s ▁touch ▁and ▁go , ▁seem ing ly , ▁and ▁she ' s ▁asking ▁for ▁you . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PRON PRON PRON ADJ ADJ NOUN NOUN CCONJ PRON PRON PRON NOUN CCONJ VERB VERB ADV ADV ADV ADV CCONJ PRON PRON PRON VERB ADP NOUN NOUN NOUN
' Well, you know how touch - and - go this stuff is. '	0 0 0 0 0 1 0 1 0 1 0 0 0 0	touch and go	figurative	dashes	PUNCT INTJ PRON VERB ADV NOUN PUNCT CCONJ PUNCT VERB DET NOUN VERB PUNCT	▁' ▁Well , ▁you ▁know ▁how ▁touch ▁- ▁and ▁- ▁go ▁this ▁stuff ▁is . ▁'	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	PUNCT INTJ INTJ PRON VERB ADV NOUN PUNCT CCONJ PUNCT VERB DET NOUN VERB VERB PUNCT
It would still be touch and go for the agency.	0 0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB NOUN CCONJ VERB ADP DET NOUN	▁It ▁would ▁still ▁be ▁touch ▁and ▁go ▁for ▁the ▁agency .	0 0 0 0 1 1 1 0 0 0 0	PRON VERB ADV VERB NOUN CCONJ VERB ADP DET NOUN NOUN
It's … well, it's all touch and go, I 'm afraid,’ he told her sadly.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON PUNCT INTJ PRON DET NOUN CCONJ VERB PRON X X PRON VERB PRON ADV	▁It ' s ▁... ▁well , ▁it ' s ▁all ▁touch ▁and ▁go , ▁I ▁' m ▁afraid , ’ ▁he ▁told ▁her ▁sadly .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON PUNCT INTJ INTJ PRON PRON PRON DET NOUN CCONJ VERB VERB PRON X X X X X PRON VERB PRON ADV ADV
' We took Bobby straight there but it was touch - and - go for two hours.	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	touch and go	figurative	dashes	PUNCT PRON VERB PROPN ADV ADV CCONJ PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP NUM NOUN	▁' ▁We ▁took ▁Bo b by ▁straight ▁there ▁but ▁it ▁was ▁touch ▁- ▁and ▁- ▁go ▁for ▁two ▁hours .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	PUNCT PRON VERB PROPN PROPN PROPN ADV ADV CCONJ PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP NUM NOUN NOUN
After a few touch - and - goes I was able to clean - up slickly : throttles carefully forward a couple of inches at main - wheel touch ( no automatic fuel control below 16,000 rpm ), hold the nose - wheel an inch or two off the tarmac and retract the airbrakes ( thumb switch up for speed - up ), a bit more throttle, flaps to fifteen ( toggle switch on side console forward — don't even contemplate touching that too - obtrusive up - and - down flap - shaped undercarriage selector in the corner of you eye on the panel ahead ), more power, the roar deepens with a steady push from behind, glance at the ASI, full throttle, speed building through ninety, rotate, positive climb, gear up, speed 120, flaps up speed 170, crank on the bank and we are downwind again.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	combined-inflection	ADP DET ADJ NOUN PUNCT CCONJ PUNCT VERB PRON VERB ADJ PART VERB PUNCT PART ADV PUNCT NOUN ADV ADP DET NOUN ADP NOUN ADP ADJ PUNCT NOUN NOUN PUNCT DET ADJ NOUN NOUN ADP NUM NOUN PUNCT VERB DET NOUN PUNCT NOUN DET NOUN CCONJ NUM ADP DET NOUN CCONJ VERB DET NOUN PUNCT NOUN VERB PART ADP NOUN PUNCT NOUN PUNCT DET NOUN ADJ NOUN NOUN ADP NUM PUNCT NOUN NOUN ADP NOUN NOUN ADV PUNCT VERB ADV VERB VERB ADP ADV PUNCT NOUN PART PUNCT CCONJ PUNCT PART NOUN PUNCT ADJ NOUN NOUN ADP DET NOUN ADP PRON NOUN ADP DET NOUN ADV PUNCT ADJ NOUN DET NOUN VERB ADP DET ADJ NOUN ADP ADV NOUN ADP DET PROPN ADJ NOUN NOUN NOUN ADP NUM VERB ADJ NOUN VERB PART NOUN NUM NOUN ADP NOUN NUM VERB ADP DET NOUN CCONJ PRON VERB ADV ADV	▁After ▁a ▁few ▁touch ▁- ▁and ▁- ▁goes ▁I ▁was ▁able ▁to ▁clean ▁- ▁up ▁s lick ly ▁ : ▁ thro ttle s ▁carefully ▁forward ▁a ▁couple ▁of ▁in ches ▁at ▁main ▁- ▁wheel ▁touch ▁( ▁no ▁automatic ▁fuel ▁control ▁below ▁1 6,000 ▁rpm ▁ ), ▁hold ▁the ▁nose ▁- ▁wheel ▁an ▁in ch ▁or ▁two ▁off ▁the ▁tar ma c ▁and ▁retract ▁the ▁air brake s ▁( ▁thumb ▁switch ▁up ▁for ▁speed ▁- ▁up ▁ ), ▁a ▁bit ▁more ▁ thro ttle , ▁flap s ▁to ▁fifteen ▁( ▁to g gle ▁switch ▁on ▁side ▁con sole ▁forward ▁ — ▁don ' t ▁even ▁contemplate ▁touching ▁that ▁too ▁- ▁ob tru sive ▁up ▁- ▁and ▁- ▁down ▁flap ▁- ▁shaped ▁under car ri age ▁selector ▁in ▁the ▁corner ▁of ▁you ▁eye ▁on ▁the ▁panel ▁ahead ▁ ), ▁more ▁power , ▁the ▁ro ar ▁deepen s ▁with ▁a ▁steady ▁push ▁from ▁behind , ▁glance ▁at ▁the ▁ASI , ▁full ▁ thro ttle , ▁speed ▁building ▁through ▁nine ty , ▁rotate , ▁positive ▁climb , ▁gear ▁up , ▁speed ▁120 , ▁flap s ▁up ▁speed ▁170 , ▁crank ▁on ▁the ▁bank ▁and ▁we ▁are ▁down wind ▁again .	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PUNCT CCONJ PUNCT VERB PRON VERB ADJ PART VERB PUNCT PART ADV ADV ADV PUNCT PUNCT NOUN NOUN NOUN NOUN ADV ADP DET NOUN ADP NOUN NOUN ADP ADJ PUNCT NOUN NOUN PUNCT DET ADJ NOUN NOUN ADP NUM NUM NOUN PUNCT PUNCT VERB DET NOUN PUNCT NOUN DET NOUN NOUN CCONJ NUM ADP DET NOUN NOUN NOUN CCONJ VERB DET NOUN NOUN NOUN PUNCT NOUN VERB PART ADP NOUN PUNCT NOUN PUNCT PUNCT DET NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADP NUM PUNCT NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN ADV PUNCT PUNCT VERB VERB VERB ADV VERB VERB ADP ADV PUNCT NOUN NOUN NOUN PART PUNCT CCONJ PUNCT PART NOUN PUNCT ADJ NOUN NOUN NOUN NOUN NOUN ADP DET NOUN ADP PRON NOUN ADP DET NOUN ADV PUNCT PUNCT ADJ NOUN NOUN DET NOUN NOUN VERB VERB ADP DET ADJ NOUN ADP ADV ADV NOUN ADP DET PROPN PROPN ADJ NOUN NOUN NOUN NOUN NOUN NOUN ADP NUM NUM NUM VERB VERB ADJ NOUN NOUN VERB PART PART NOUN NUM NUM NOUN NOUN ADP NOUN NUM NUM VERB ADP DET NOUN CCONJ PRON VERB ADV ADV ADV ADV
At that point Banana manager Keith Lambert instructed Luckwell to drop back and help with the chase and it was touch and go as the next group brought the gap down to three minutes on the finishing circuit at Rotherham.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	ADP DET NOUN PROPN NOUN PROPN PROPN VERB PROPN PART VERB ADV CCONJ VERB ADP DET NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP DET ADJ NOUN VERB DET NOUN ADV ADP NUM NOUN ADP DET VERB NOUN ADP PROPN	▁At ▁that ▁point ▁B anana ▁manager ▁Ke ith ▁Lamb ert ▁instructed ▁L uck well ▁to ▁drop ▁back ▁and ▁help ▁with ▁the ▁chase ▁and ▁it ▁was ▁touch ▁and ▁go ▁as ▁the ▁next ▁group ▁brought ▁the ▁gap ▁down ▁to ▁three ▁minutes ▁on ▁the ▁finishing ▁circuit ▁at ▁R other ham .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PROPN PROPN NOUN PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN PART VERB ADV CCONJ VERB ADP DET NOUN CCONJ PRON VERB NOUN CCONJ VERB ADP DET ADJ NOUN VERB DET NOUN ADV ADP NUM NOUN ADP DET VERB NOUN ADP PROPN PROPN PROPN PROPN
Those of us who witnessed the touch - and - go progress of an ultimately triumphant War and Peace — recorded by Philips for release early next year — feared for the future of the rest, but as Gergiev puts it ' that which makes me incredibly proud is that I announced these things and they happened ' — and, one might add, that inspiration was to hand for rather more performances than the fiercely self - critical Gergiev might admit.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	dashes	DET ADP PRON NOUN VERB DET NOUN PUNCT CCONJ PUNCT VERB NOUN ADP DET ADV NOUN PROPN CCONJ PROPN PUNCT VERB ADP PROPN ADP NOUN ADV ADJ NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN CCONJ ADP PROPN VERB PRON PUNCT ADP ADJ VERB PRON ADV ADJ VERB ADP PRON VERB DET NOUN CCONJ PRON VERB PUNCT PUNCT CCONJ PRON VERB VERB DET NOUN VERB PART VERB ADP ADV ADJ NOUN ADP DET ADV NOUN PUNCT ADJ PROPN VERB VERB	▁T hose ▁of ▁us ▁who ▁witness ed ▁the ▁touch ▁- ▁and ▁- ▁go ▁progress ▁of ▁an ▁ultimately ▁triumph ant ▁War ▁and ▁Peace ▁ — ▁recorded ▁by ▁Philip s ▁for ▁release ▁early ▁next ▁year ▁ — ▁feared ▁for ▁the ▁future ▁of ▁the ▁rest , ▁but ▁as ▁Ger g iev ▁puts ▁it ▁' ▁that ▁which ▁makes ▁me ▁in cr ed ib ly ▁proud ▁is ▁that ▁I ▁announced ▁these ▁things ▁and ▁they ▁happened ▁' ▁ — ▁and , ▁one ▁might ▁add , ▁that ▁inspiration ▁was ▁to ▁hand ▁for ▁rather ▁more ▁performance s ▁than ▁the ▁fierce ly ▁self ▁- ▁critical ▁Ger g iev ▁might ▁admit .	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET DET ADP PRON NOUN VERB VERB DET NOUN PUNCT CCONJ PUNCT VERB NOUN ADP DET ADV NOUN NOUN PROPN CCONJ PROPN PUNCT PUNCT VERB ADP PROPN PROPN ADP NOUN ADV ADJ NOUN PUNCT PUNCT VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ ADP PROPN PROPN PROPN VERB PRON PUNCT ADP ADJ VERB PRON ADV ADV ADV ADV ADV ADJ VERB ADP PRON VERB DET NOUN CCONJ PRON VERB PUNCT PUNCT PUNCT CCONJ CCONJ PRON VERB VERB VERB DET NOUN VERB PART VERB ADP ADV ADJ NOUN NOUN ADP DET ADV ADV NOUN PUNCT ADJ PROPN PROPN PROPN VERB VERB VERB
The operation was really touch and go there for awhile but the doctor thinks he 'll pull through.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	DET NOUN VERB ADV VERB CCONJ VERB ADV ADP ADV CCONJ DET NOUN VERB PRON VERB VERB PART	▁The ▁operation ▁was ▁really ▁touch ▁and ▁go ▁there ▁for ▁a while ▁but ▁the ▁doctor ▁thinks ▁he ▁' ll ▁pull ▁through .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADV VERB CCONJ VERB ADV ADP ADV ADV CCONJ DET NOUN VERB PRON VERB VERB VERB PART PART
It was touch and go all the way.’	0 0 1 1 1 0 0 0	touch and go	figurative	identical	PRON VERB NOUN CCONJ VERB ADJ DET ADJ	▁It ▁was ▁touch ▁and ▁go ▁all ▁the ▁way . ’	0 0 1 1 1 0 0 0 0 0	PRON VERB NOUN CCONJ VERB ADJ DET ADJ ADJ ADJ
But it was often touch and go.	0 0 0 0 1 1 1	touch and go	figurative	identical	CCONJ PRON VERB ADV NOUN CCONJ VERB	▁But ▁it ▁was ▁often ▁touch ▁and ▁go .	0 0 0 0 1 1 1 1	CCONJ PRON VERB ADV NOUN CCONJ VERB VERB
The last couple of times Yanto had seen him before joining the army, it had been touch and go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	touch and go	figurative	identical	DET ADJ NOUN ADP NOUN PROPN VERB VERB PRON ADP VERB DET NOUN PRON VERB VERB NOUN CCONJ VERB	▁The ▁last ▁couple ▁of ▁times ▁Y ant o ▁had ▁seen ▁him ▁before ▁joining ▁the ▁army , ▁it ▁had ▁been ▁touch ▁and ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ NOUN ADP NOUN PROPN PROPN PROPN VERB VERB PRON ADP VERB DET NOUN NOUN PRON VERB VERB NOUN CCONJ VERB VERB
I SHOULD like to have your opinion regarding a touch and go subject : namely toilet facilities at football grounds.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN VERB DET NOUN CCONJ VERB ADJ PUNCT ADV NOUN NOUN ADP NOUN NOUN	▁I ▁S HO UL D ▁like ▁to ▁have ▁your ▁opinion ▁regarding ▁a ▁touch ▁and ▁go ▁subject ▁ : ▁namely ▁toilet ▁facilities ▁at ▁f ootball ▁grounds .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB VERB PART VERB ADJ NOUN VERB DET NOUN CCONJ VERB ADJ PUNCT PUNCT ADV NOUN NOUN ADP NOUN NOUN NOUN NOUN
Touch and go.	1 1 1	touch and go	figurative	case	NOUN CCONJ VERB	▁To uch ▁and ▁go .	1 1 1 1 1	NOUN NOUN CCONJ VERB VERB
It is still touch and go whether Americans will go into the election feeling better off than four years ago or whether they will still be blaming their President for keeping them comparatively poor — that's to say, better off on average than anybody else in the world but not by as much as before.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PROPN VERB VERB ADP DET NOUN NOUN ADJ ADV ADP NUM NOUN ADV CCONJ ADP PRON VERB ADV VERB VERB ADJ PROPN ADP VERB PRON ADV ADJ PUNCT DET PART VERB ADJ PART ADP ADJ ADP NOUN ADV ADP DET NOUN CCONJ ADV ADP ADV ADJ ADP ADV	▁It ▁is ▁still ▁touch ▁and ▁go ▁whether ▁Americans ▁will ▁go ▁into ▁the ▁election ▁feeling ▁better ▁off ▁than ▁four ▁years ▁ago ▁or ▁whether ▁they ▁will ▁still ▁be ▁b lam ing ▁their ▁President ▁for ▁keeping ▁them ▁comparative ly ▁poor ▁ — ▁that ' s ▁to ▁say , ▁better ▁off ▁on ▁average ▁than ▁anybody ▁else ▁in ▁the ▁world ▁but ▁not ▁by ▁as ▁much ▁as ▁before .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB CCONJ VERB ADP PROPN VERB VERB ADP DET NOUN NOUN ADJ ADV ADP NUM NOUN ADV CCONJ ADP PRON VERB ADV VERB VERB VERB VERB ADJ PROPN ADP VERB PRON ADV ADV ADJ PUNCT PUNCT DET DET DET PART VERB VERB ADJ PART ADP ADJ ADP NOUN ADV ADP DET NOUN CCONJ ADV ADP ADV ADJ ADP ADV ADV
