Memory returned to Seb in disjointed snatches and he hastily checked he was wearing his trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	literal	combined-inflection	NOUN VERB ADP PROPN ADP ADJ NOUN CCONJ PRON ADV VERB PRON VERB VERB ADJ NOUN
I am not wearing them tight trousers again!	0 0 0 1 0 0 1 0	wear the trousers	literal	combined-inflection	PRON VERB ADV VERB PRON ADJ NOUN ADV
She was wearing trousers and as she kept her feet on the ground she felt reasonably secure, at least ; she kept her toes on the ground and spent a rather hilarious time trying to get control of it in the courtyard, her attempts bringing Marguerite out with words of advice and wide smiles.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB NOUN CCONJ ADP PRON VERB ADJ NOUN ADP DET NOUN PRON VERB ADV ADJ ADP ADJ PUNCT PRON VERB ADJ NOUN ADP DET NOUN CCONJ VERB DET ADV ADJ NOUN VERB PART VERB NOUN ADP PRON ADP DET NOUN ADJ NOUN VERB PROPN PART ADP NOUN ADP NOUN CCONJ ADJ NOUN
He has short, black hair and was wearing a short zipped jacket and black trousers.	0 0 0 0 0 0 0 1 0 0 0 0 0 0 1	wear the trousers	literal	combined-inflection	PRON VERB ADJ ADJ NOUN CCONJ VERB VERB DET ADJ VERB NOUN CCONJ ADJ NOUN
She started to wear trousers for the first time, dieted, and let her hair grow.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	deletion-determiner	PRON VERB PART VERB NOUN ADP DET ADJ NOUN VERB CCONJ VERB ADJ NOUN VERB
In Wigan the women wore trousers, they had the strength of horses, and Munby loved that.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP PROPN DET NOUN VERB NOUN PRON VERB DET NOUN ADP NOUN CCONJ PROPN VERB DET
My toes went numb, and at the primary school that we attended I wasn't allowed to wear long trousers at my age.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	wear the trousers	literal	determiner-broad	ADJ NOUN VERB ADJ CCONJ ADP DET ADJ NOUN ADJ PRON VERB PRON VERB VERB PART VERB ADJ NOUN ADP ADJ NOUN
At least if there is a uniform a rule is seen to exist, but it is in schools where there is no uniform but where girls are prevented from wearing trousers that the greatest conflict can arise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP ADJ ADP ADV VERB DET NOUN DET NOUN VERB VERB PART VERB CCONJ PRON VERB ADP NOUN ADV ADV VERB DET NOUN CCONJ ADV NOUN VERB VERB ADP VERB NOUN ADP DET ADJ NOUN VERB VERB
Wear these striking cropped trousers with strappy kitten - heeled shoes to show off your legs to best effect.	1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-other	VERB DET NOUN VERB NOUN ADP ADJ NOUN PUNCT VERB NOUN PART VERB PART ADJ NOUN ADP ADJ NOUN
He wore cream linen trousers and a pale yellow shirt that was definitely not off the peg.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ NOUN NOUN CCONJ DET ADJ ADJ NOUN ADJ VERB ADV ADV ADP DET NOUN
Johnny, as though realizing for the first time that he was still wearing his pyjama trousers, began to worry at the knot in the cord at his waist, the trembling of his hands causing him to fumble ineffectively.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN ADP ADP VERB ADP DET ADJ NOUN ADP PRON VERB ADV VERB ADJ NOUN NOUN VERB PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN DET NOUN ADP ADJ NOUN VERB PRON PART ADJ ADV
Try to avoid wearing tight fitting trousers or underwear, especially if they 're made from artificial fibres.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	VERB PART VERB VERB ADJ ADJ NOUN CCONJ NOUN ADV ADP PRON VERB VERB ADP ADJ NOUN
I think I caught her on the hop, for she was wearing trousers and sandals and … no, I can not remember what else ….	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB PRON VERB PRON ADP DET NOUN ADP PRON VERB VERB NOUN CCONJ NOUN CCONJ PUNCT INTJ PRON VERB ADV VERB NOUN ADV PUNCT
You might have to show the inspector the stamp to show that you were wearing the correct trousers — every now and then, you had to bring all your uniform in and all your uniform was an awful lot of uniform.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB PART VERB DET NOUN DET NOUN PART VERB ADP PRON VERB VERB DET ADJ NOUN PUNCT DET ADV CCONJ ADV PRON VERB PART VERB DET ADJ NOUN ADP CCONJ DET ADJ NOUN VERB DET ADJ NOUN ADP NOUN
I 'm going to wear the brown velvet trousers and the medallion.	0 0 0 0 1 0 0 0 1 0 0 0	wear the trousers	literal	insertion-other	PRON VERB VERB PART VERB DET ADJ NOUN NOUN CCONJ DET NOUN
This has the real hard stuff — cattle mutilations performed by aliens ( apparently, ' for reasons we don't yet understand ', they 're also interested in cows ' bottoms ), UFOs and AIDS, stories about he ' men in black ', CIA men from space, who drive brand new Fifties ' cars, wear trousers that don't crease and harass people who claim to have seen UFOs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	deletion-determiner	DET VERB DET ADJ ADJ NOUN PUNCT NOUN NOUN VERB ADP NOUN PUNCT ADV PUNCT ADP NOUN PRON VERB ADV VERB PUNCT PRON VERB ADV ADJ ADP NOUN PART NOUN PUNCT NOUN CCONJ PROPN VERB ADP PRON PART NOUN ADP NOUN PUNCT PROPN NOUN ADP NOUN NOUN VERB NOUN ADJ PROPN PART NOUN VERB NOUN ADJ VERB VERB CCONJ VERB NOUN NOUN VERB PART VERB VERB NOUN
He wore washed - out, balding corduroy trousers wrinkled with their own tightness.	0 1 0 0 0 0 0 1 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB PUNCT PART VERB NOUN NOUN VERB ADP ADJ ADJ NOUN
The bloke with the green usually wears the green trousers.	0 0 0 0 0 0 1 0 0 1	wear the trousers	literal	combined-inflection	DET NOUN ADP DET ADJ ADV VERB DET ADJ NOUN
He was wearing dark trousers and a white, short - sleeved shirt.	0 0 1 0 1 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ DET ADJ ADJ PUNCT ADJ NOUN
At the most the academics will be entitled to wear checked trousers instead of striped ones. '	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	wear the trousers	literal	determiner-broad	ADP DET ADJ DET NOUN VERB VERB VERB PART VERB VERB NOUN ADV ADP VERB NOUN PUNCT
He wore his cord trousers but his feet were bare and an unbuttoned pyjama jacket revealed fleeting glimpses of a snow - white breast.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ NOUN NOUN CCONJ ADJ NOUN VERB ADJ CCONJ DET ADJ NOUN NOUN VERB ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN
I 'd like to take a bet on it that the mother wears the trousers.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	figurative	combined-inflection	PRON VERB VERB PART VERB DET NOUN ADP PRON ADP DET NOUN VERB DET NOUN
They were dark - skinned and wore tight trousers.	0 0 0 0 0 0 1 0 1	wear the trousers	literal	combined-inflection	PRON VERB ADJ PUNCT ADJ CCONJ VERB ADJ NOUN
He wore white, baggy trousers which billowed like silken sails and red, high - heeled, velvet slippers with ornately curled toes.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ NOUN NOUN ADJ VERB ADP ADJ NOUN CCONJ ADJ ADV PUNCT ADJ NOUN NOUN ADP ADV VERB NOUN
' Karen wears trousers because they keep out ack - tors ' hands, 'said Jessica.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PUNCT PROPN VERB NOUN ADP PRON VERB PART NOUN PUNCT NOUN PART NOUN VERB PROPN
He was wearing old plaid trousers, over - large and loose as pantaloons, and tied at the ankles with string.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ ADJ NOUN ADP PUNCT ADJ CCONJ ADJ ADP NOUN CCONJ VERB ADP DET NOUN ADP NOUN
She was wearing black trousers topped with a belted tunic in thin grey wool, high - buttoned almost to the chin, and deep - cuffed.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ NOUN VERB ADP DET VERB ADJ ADP ADJ ADJ NOUN ADV PUNCT VERB ADV ADP DET NOUN CCONJ ADJ PUNCT ADJ
Neil and D. Davis didn't bother entering the comp so as to give everyone else a chance … and I can't really think of anyone who particularly merits a mention … oh, apart from Z - boy Fez who wore stripy skin tight trousers and looked ridiculous … don't know the results — and hey!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN CCONJ PROPN PROPN VERB VERB VERB DET NOUN ADP ADP PART VERB NOUN ADV DET NOUN PUNCT CCONJ PRON VERB ADV VERB ADP NOUN NOUN ADV VERB DET NOUN PUNCT INTJ ADV ADP NOUN PUNCT NOUN PROPN NOUN VERB ADP NOUN ADJ NOUN CCONJ VERB ADJ PUNCT VERB VERB DET NOUN PUNCT CCONJ INTJ
If you have them you know I mean I can't see, I mean you wear your trousers baggyish and long.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	wear the trousers	literal	determiner-broad	ADP PRON VERB PRON PRON VERB PRON VERB PRON VERB VERB PRON VERB PRON VERB ADJ NOUN ADJ CCONJ ADV
She was a plump young nome who wore trousers and was good at engineering and had actually volunteered to be a guard instead of staying at home learning how to cook ; things were really changing in the quarry.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB DET ADJ ADJ NOUN NOUN VERB NOUN CCONJ VERB ADJ ADP NOUN CCONJ VERB ADV VERB PART VERB DET NOUN ADV ADP VERB ADP NOUN VERB ADV PART VERB PUNCT NOUN VERB ADV VERB ADP DET NOUN
He didn't want female teachers or pupils to wear trousers — the teachers because it is ' unladylike and unprofessional ' and the girls for ' reasons of hygiene ', says Cathy Pemberton, an ex - teacher from Essex Junior School in Newham.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	deletion-determiner	PRON VERB VERB ADJ NOUN CCONJ NOUN PART VERB NOUN PUNCT DET NOUN ADP PRON VERB PUNCT ADJ CCONJ ADJ PUNCT CCONJ DET NOUN ADP PUNCT NOUN ADP NOUN PUNCT VERB PROPN PROPN DET NUM PUNCT NOUN ADP PROPN PROPN PROPN ADP PROPN
Flip - flopping off the porch in battered Air Jordans, wearing voluminously baggy, clown - size trousers, a white body, and over that a faded green Adidas track top.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN PUNCT VERB PART DET NOUN ADP VERB PROPN PROPN VERB ADV NOUN NOUN PUNCT NOUN NOUN DET ADJ NOUN CCONJ ADP DET DET VERB ADJ PROPN NOUN NOUN
Miss Grimsilk had a clean good skin, clean good hair of an indeterminate brown, used no make - up and wore trousers and jacket that were excellently cut and of clean good British wool, but of a miserable dirty slate - grey colour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN PROPN VERB DET ADJ ADJ NOUN ADJ ADJ NOUN ADP DET ADJ NOUN VERB DET VERB PUNCT NOUN CCONJ VERB NOUN CCONJ NOUN ADJ VERB ADV VERB CCONJ ADP ADJ ADJ ADJ NOUN CCONJ ADP DET ADJ ADJ NOUN PUNCT NOUN NOUN
I think I 'll wear some trousers.	0 0 0 0 1 0 1	wear the trousers	literal	determiner-broad	PRON VERB PRON VERB VERB DET NOUN
He still wore the grey flannel trousers, white shirt and maroon pullover of his school, but his feet were bare.	0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON ADV VERB DET ADJ NOUN NOUN ADJ NOUN CCONJ NOUN NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADJ
I wore only trousers and a shirt so torn that the upper part of my body was practically naked.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADV NOUN CCONJ DET NOUN ADV ADJ ADP DET ADJ NOUN ADP ADJ NOUN VERB ADV ADJ
The other things that are important are no cups of coffee, no sticky buns on the table er my helpers don't wear trousers or leggings because helpers, like the goods, come in all sorts of shapes and sizes and some of them look good and some of them don't.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	deletion-determiner	DET ADJ NOUN ADJ VERB ADJ VERB DET NOUN ADP NOUN DET ADJ NOUN ADP DET NOUN INTJ ADJ NOUN VERB VERB NOUN CCONJ NOUN ADP NOUN ADP DET NOUN VERB ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ DET ADP PRON VERB ADJ CCONJ DET ADP PRON VERB
' We do not serve females wearing trousers, ' he said.	0 0 0 0 0 0 1 1 0 0 0	wear the trousers	literal	combined-inflection	PUNCT PRON VERB ADV VERB NOUN VERB NOUN PUNCT PRON VERB
The local people had stoned her for wearing trousers in the street and Fernando had ruefully added how things had changed since then — now anything went in Majorca.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET ADJ NOUN VERB VERB PRON ADP VERB NOUN ADP DET NOUN CCONJ PROPN VERB ADV VERB ADV NOUN VERB VERB ADP ADV PUNCT ADV NOUN VERB ADP PROPN
He had been playing golf and was wearing cavalry - twill trousers and a plaid tie round an unbuttoned shirt - neck.	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB VERB NOUN CCONJ VERB VERB NOUN PUNCT NOUN NOUN CCONJ DET ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN
When gardening he often wore very baggy trousers with braces, gum boots and a waist - length black donkey jacket which hung loose and looked as if it was too short.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADV VERB PRON ADV VERB ADV NOUN NOUN ADP NOUN NOUN NOUN CCONJ DET NOUN PUNCT NOUN ADJ NOUN NOUN ADJ VERB ADV CCONJ VERB ADP ADP PRON VERB ADV ADJ
While suffering from a temporary bout of impotence in my early twenties, I considered all the possible remedies ( from exotic aphrodisiacs to penile splints ) before paying a visit to my local GP, who consulted some weighty medical tome before advising me to avoid wearing excessively tight trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	wear the trousers	literal	combined-inflection	ADP VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN PRON VERB ADJ DET ADJ NOUN PUNCT ADP ADJ NOUN PART VERB NOUN PUNCT ADP VERB DET NOUN ADP ADJ ADJ PROPN NOUN VERB DET ADJ ADJ NOUN ADP VERB PRON PART VERB VERB ADV ADJ NOUN
But what if a school wished to ban Sikh girls from wearing trousers, and sought to justify its action with the argument that to create an exception from school rules for Sikhs would cause resentment from whites and thus work to the detriment of racial harmony?	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	CCONJ NOUN ADP DET NOUN VERB PART VERB PROPN NOUN ADP VERB NOUN CCONJ VERB PART VERB ADJ NOUN ADP DET NOUN ADJ PART VERB DET NOUN ADP NOUN NOUN ADP PROPN VERB VERB NOUN ADP NOUN CCONJ ADV VERB ADP DET NOUN ADP ADJ NOUN
A few determinedly modern young women eat snacks in the street, but no girl or woman in Spain dares wear trousers or skimpy bathing - suits.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	wear the trousers	literal	deletion-determiner	DET ADJ ADV ADJ ADJ NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN CCONJ NOUN ADP PROPN VERB VERB NOUN CCONJ ADJ NOUN PUNCT NOUN
I called Philip's wife Hilary in a previous novel, Changing Places, because it is an androgynous name and at that stage of their marriage she was the dominant partner in the marriage, or, as the saying is, wore the trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	figurative	inflection	PRON VERB PROPN NOUN PROPN ADP DET ADJ NOUN VERB NOUN ADP PRON VERB DET ADJ NOUN CCONJ ADP DET NOUN ADP ADJ NOUN PRON VERB DET ADJ NOUN ADP DET NOUN CCONJ ADP DET NOUN VERB VERB DET NOUN
Like all the other vibrancers in the house, she wore loose trousers and a shirt of pale colours, but also affected a bright red embroidered waistcoat to denote her superiority in status.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP ADJ DET ADJ NOUN ADP DET NOUN PRON VERB ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN CCONJ ADV VERB DET ADJ ADJ VERB NOUN PART VERB ADJ NOUN ADP NOUN
The doctor, universally known as ' Hubert ', was rotund, but it was a jolly bouncing roundness, not like the disgusting pot - bellied men who don't know whether to wear their trousers above or below their pots.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	wear the trousers	literal	determiner-broad	DET NOUN ADV VERB ADP PUNCT PROPN PUNCT VERB VERB CCONJ PRON VERB DET ADV VERB NOUN ADV ADP DET ADJ NOUN PUNCT ADJ NOUN NOUN VERB VERB ADP PART VERB ADJ NOUN ADP CCONJ ADP ADJ NOUN
He was wearing trousers but his chest was bare.	0 0 1 1 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB NOUN CCONJ ADJ NOUN VERB ADJ
She wore trousers and a smock.	0 1 1 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB NOUN CCONJ DET NOUN
I was not, for once, wearing my battledress trousers, but had put on my uniform skirt with my battledress top.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADV ADP ADV VERB ADJ NOUN NOUN CCONJ VERB VERB ADP ADJ ADJ NOUN ADP ADJ NOUN NOUN
If I was living in Mauritius, the time I could spend in jeans would be restricted, as young women seldom wear trousers ; the punjabi dress, with its tight - fitting trousers, is acceptable, though.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	deletion-determiner	ADP PRON VERB VERB ADP PROPN DET NOUN PRON VERB VERB ADP NOUN VERB VERB VERB ADP ADJ NOUN ADV VERB NOUN PUNCT DET NOUN NOUN ADP ADJ ADV PUNCT VERB NOUN VERB ADJ ADV
Cardew was best known for his portrayal of the comic character Cardew the Cad, a tall overgrown schoolboy who wore short trousers, cap and scarf and recalled school pranks while on stage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PROPN VERB ADV VERB ADP ADJ NOUN ADP DET ADJ NOUN PROPN DET PROPN DET ADJ ADJ NOUN NOUN VERB ADJ NOUN NOUN CCONJ NOUN CCONJ VERB NOUN NOUN ADP ADP NOUN
From left to right : Lynda is wearing Rohan Gobi trousers, a Craghoppers Tarn fleece and a Stormbreaker jacket.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP VERB ADP NOUN PUNCT PROPN VERB VERB PROPN PROPN NOUN DET PROPN PROPN NOUN CCONJ DET PROPN NOUN
The only ones who might qualify are Ian Woosnam and Sam Torrance, but he wears such baggy trousers that it is difficult to see.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	DET ADJ NOUN NOUN VERB VERB VERB PROPN PROPN CCONJ PROPN PROPN CCONJ PRON VERB ADJ NOUN NOUN ADP PRON VERB ADJ PART VERB
He was wearing blue trousers and little white socks.	0 0 1 0 1 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB ADJ NOUN CCONJ ADJ ADJ NOUN
She was wearing check trousers and a red polo - necked sweater that accentuated the perfect roundness of her bra - less small breasts.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB VERB NOUN NOUN CCONJ DET ADJ ADJ PUNCT ADJ NOUN ADJ VERB DET ADJ NOUN ADP ADJ NOUN PUNCT ADJ ADJ NOUN
In other cases, an attack can be linked to another infection, such as Thrush, but it can be as simple as ' holding on ' too long before going to the lavatory, or wearing tight fitting trousers or underwear — creating the warm, moist atmosphere germs love.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP ADJ NOUN DET NOUN VERB VERB VERB ADP DET NOUN ADJ ADP PROPN CCONJ PRON VERB VERB ADV ADJ ADP PUNCT VERB PART PUNCT ADV ADV ADP VERB ADP DET NOUN CCONJ VERB ADJ ADJ NOUN CCONJ NOUN PUNCT VERB DET ADJ NOUN NOUN NOUN VERB
Accordingly, Belinda left the veranda and went to her room, deciding on the way that she would wear her new black evening trousers and the pale apricot silk camisole top she had bought to go with them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-other	ADV PROPN VERB DET NOUN CCONJ VERB ADP ADJ NOUN VERB ADP DET NOUN ADP PRON VERB VERB ADJ ADJ ADJ NOUN NOUN CCONJ DET ADJ NOUN NOUN NOUN NOUN PRON VERB VERB PART VERB ADP PRON
