People around here have taken it up with different parties but everyone seems to pass the buck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	identical	NOUN ADV ADV VERB VERB PRON PART ADP ADJ NOUN CCONJ NOUN VERB PART VERB DET NOUN
Is not the Minister passing the buck?	0 0 0 0 1 0 1	pass the buck	figurative	inflection	VERB ADV DET PROPN VERB DET NOUN
If a complaint arises, it declines to pass the buck to tour operators, hotels or airlines.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	pass the buck	figurative	identical	ADP DET NOUN VERB PRON VERB PART VERB DET NOUN PART VERB NOUN NOUN CCONJ NOUN
Gwent Magistrates Committee chairman Ross Goff accused the Welsh Office of trying to ‘ pass the buck’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	dashes	PROPN PROPN PROPN NOUN PROPN PROPN VERB DET PROPN PROPN ADP VERB PART PUNCT VERB DET NOUN
Everyone was passing the buck — no one would actually express to John what their feelings were.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	pass the buck	figurative	inflection	NOUN VERB VERB DET NOUN PUNCT DET NOUN VERB ADV VERB ADP PROPN NOUN ADJ NOUN VERB
So even a very episodic role for political leaders assumes a wider significance, given that elected political leaders can not pass the buck for crisis decisions to any alternative source of authority in a liberal democracy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	pass the buck	figurative	identical	ADV ADV DET ADV ADJ NOUN ADP ADJ NOUN VERB DET ADJ NOUN VERB ADP VERB ADJ NOUN VERB ADV VERB DET NOUN ADP NOUN NOUN ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN
Great pleasure is therefore taken when the buck is passed and the paperwork is handed to someone else.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	pass the buck	figurative	misc	ADJ NOUN VERB ADV VERB ADV DET NOUN VERB VERB CCONJ DET NOUN VERB VERB ADP NOUN ADV
‘ That's called passing the buck, Lawrence.’	0 0 0 1 0 1 0	pass the buck	figurative	inflection	PUNCT DET VERB VERB DET NOUN NOUN
The Chairman said, quite rightly, that that wasn't his responsibility, the old and honoured American tradition of passing the buck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	inflection	DET PROPN VERB ADV ADV ADP DET VERB ADJ NOUN DET ADJ CCONJ VERB ADJ NOUN ADP VERB DET NOUN
When anything like this happened, every office - holder in the community made speeches passing the buck on to the police department.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	pass the buck	figurative	inflection	ADV NOUN ADP DET VERB DET NOUN PUNCT NOUN ADP DET NOUN VERB NOUN VERB DET NOUN ADP ADP DET NOUN NOUN
‘ He's passed the buck to me so let's get creative.’	0 0 1 0 1 0 0 0 0 0 0	pass the buck	figurative	inflection	PUNCT PRON VERB DET NOUN ADP PRON ADV VERB VERB NOUN
If in doubt, pass the buck.	0 0 0 1 0 1	pass the buck	figurative	identical	ADP ADP NOUN VERB DET NOUN
It is not enough for the Minister to pass the buck to the chief inspector of constabulary.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	pass the buck	figurative	identical	PRON VERB ADV ADJ ADP DET PROPN PART VERB DET NOUN ADP DET ADJ NOUN ADP ADJ
PASSING THE BUCKS	1 0 1	pass the buck	figurative	combined-inflection	VERB DET NOUN
But what you don't want is a series of conversations with two or three different people all of whom really want you to go away and are just trying to pass the buck to someone else.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	pass the buck	figurative	identical	CCONJ NOUN PRON VERB VERB VERB DET NOUN ADP NOUN ADP NUM CCONJ NUM ADJ NOUN DET ADP NOUN ADV VERB PRON PART VERB ADV CCONJ VERB ADV VERB PART VERB DET NOUN ADP NOUN ADV
Shouldn't we now be acknowledging blame rather than passing the buck?	0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	inflection	VERB PRON ADV VERB VERB NOUN ADV ADP VERB DET NOUN
In the event, the formula was never put to the test, but it provides an idea of the way the Palace would expect to pass the buck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	identical	ADP DET NOUN DET NOUN VERB ADV VERB ADP DET NOUN CCONJ PRON VERB DET NOUN ADP DET NOUN DET PROPN VERB VERB PART VERB DET NOUN
Pass the buck	1 0 1	pass the buck	figurative	case	VERB DET NOUN
Don't pass the buck to me.	0 1 0 1 0 0	pass the buck	figurative	identical	VERB VERB DET NOUN ADP PRON
Passing the buck	1 0 1	pass the buck	figurative	combined-inflection	VERB DET NOUN
Yes, everyone passes the buck and	0 0 1 0 1 0	pass the buck	figurative	inflection	INTJ NOUN VERB DET NOUN CCONJ
English Heritage passes the conservation buck	0 0 1 0 0 1	pass the buck	figurative	combined-inflection	PROPN PROPN VERB DET NOUN NOUN
LONDON – Politicians are masters at “ passing the buck. ”	0 0 0 0 0 0 0 1 0 1 0	pass the buck	figurative	inflection	PROPN PUNCT NOUN VERB NOUN ADP PUNCT VERB DET NOUN PUNCT
‘ I hope this Tory government's change of heart is genuine and that they are not just trying to pass the buck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	pass the buck	figurative	identical	PUNCT PRON VERB DET PROPN NOUN NOUN ADP NOUN VERB ADJ CCONJ ADP PRON VERB ADV ADV VERB PART VERB DET NOUN
One can also argue for PSR on the grounds that asking for CSR becomes a way of “ passing the buck ” – evading personal responsibility for doing good.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	pass the buck	figurative	inflection	PRON VERB ADV VERB ADP PROPN ADP DET NOUN ADP VERB ADP PROPN VERB DET NOUN ADP PUNCT VERB DET NOUN PUNCT PUNCT VERB ADJ NOUN ADP VERB NOUN
Martinho wanted to please them, so he passed the buck to yours truly.	0 0 0 0 0 0 0 1 0 1 0 0 0	pass the buck	figurative	inflection	PROPN VERB PART VERB PRON ADV PRON VERB DET NOUN ADP PRON ADV
PASSING THE BUCK	1 0 1	pass the buck	figurative	combined-inflection	VERB DET NOUN
Always pass the buck.	0 1 0 1	pass the buck	figurative	identical	ADV VERB DET NOUN
One can legitimately ask Dr Runcie what are the temptations facing those who are unsuccessful, in regard to their own failings and failures — indulgence in self - pity ; trying to pass the buck ; bitterness, even resentment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	pass the buck	figurative	identical	PRON VERB ADV VERB PROPN PROPN NOUN VERB DET NOUN VERB DET NOUN VERB ADJ ADP NOUN ADP ADJ ADJ NOUN CCONJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN PUNCT VERB PART VERB DET NOUN PUNCT NOUN ADV NOUN
The opportunities in this model for passing the buck between the NHS and social services would be legion.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	pass the buck	figurative	inflection	DET NOUN ADP DET NOUN ADP VERB DET NOUN ADP DET PROPN CCONJ ADJ NOUN VERB VERB NOUN
